code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,rev_18,rev_19,rev_20,rev_21,rev_22,rev_23,rev_24,rev_25,rev_26,rev_27,rev_28,rev_29,rev_30,rev_31,rev_32,rev_33,rev_34,rev_35,rev_36,rev_37,rev_38,rev_39,rev_40,rev_41,rev_42,rev_43,rev_44,rev_45,rev_46,rev_47,rev_48,rev_49,rev_50,rev_51,rev_52,rev_53,rev_54,rev_55,rev_56,rev_57,rev_58,rev_59,rev_60,rev_61,rev_62,rev_63,rev_64,rev_65,rev_66,rev_67,rev_68,rev_69,rev_70,rev_71,rev_72,rev_73,rev_74,rev_75,rev_76,rev_77,rev_78,rev_79,rev_80,rev_81,rev_82,rev_83,rev_84,rev_85,rev_86,rev_87,rev_88,rev_89,rev_90,rev_91,rev_92,rev_93,rev_94,rev_95,rev_96,rev_97,rev_98,rev_99,rev_100,rev_101,rev_102,rev_103,rev_104,rev_105,rev_106,rev_107,rev_108,rev_109,rev_110,rev_111,doc_link,source_link
20Iteration,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,https://github.com/dennybritz/reinforcement-learning/blob/06ce3127a2cb7cfd6cf2a9cbd523ac4550db5a54/README.md,https://github.com/dennybritz/reinforcement-learning/blob/06ce3127a2cb7cfd6cf2a9cbd523ac4550db5a54/DP/README.md#L41
20Learning,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/dennybritz/reinforcement-learning/blob/06ce3127a2cb7cfd6cf2a9cbd523ac4550db5a54/README.md,https://github.com/dennybritz/reinforcement-learning/blob/06ce3127a2cb7cfd6cf2a9cbd523ac4550db5a54/DQN/README.md#L44
20MC,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/dennybritz/reinforcement-learning/blob/06ce3127a2cb7cfd6cf2a9cbd523ac4550db5a54/README.md,https://github.com/dennybritz/reinforcement-learning/blob/06ce3127a2cb7cfd6cf2a9cbd523ac4550db5a54/MC/README.md#L48
20MountainCar,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/dennybritz/reinforcement-learning/blob/06ce3127a2cb7cfd6cf2a9cbd523ac4550db5a54/README.md,https://github.com/dennybritz/reinforcement-learning/blob/06ce3127a2cb7cfd6cf2a9cbd523ac4550db5a54/PolicyGradient/README.md#L59
20Policies,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/dennybritz/reinforcement-learning/blob/06ce3127a2cb7cfd6cf2a9cbd523ac4550db5a54/README.md,https://github.com/dennybritz/reinforcement-learning/blob/06ce3127a2cb7cfd6cf2a9cbd523ac4550db5a54/MC/README.md#L45
20Prediction,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/dennybritz/reinforcement-learning/blob/06ce3127a2cb7cfd6cf2a9cbd523ac4550db5a54/README.md,https://github.com/dennybritz/reinforcement-learning/blob/06ce3127a2cb7cfd6cf2a9cbd523ac4550db5a54/MC/README.md#L42
20Q,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/dennybritz/reinforcement-learning/blob/06ce3127a2cb7cfd6cf2a9cbd523ac4550db5a54/README.md,https://github.com/dennybritz/reinforcement-learning/blob/06ce3127a2cb7cfd6cf2a9cbd523ac4550db5a54/DQN/README.md#L44
20REINFORCE,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/dennybritz/reinforcement-learning/blob/06ce3127a2cb7cfd6cf2a9cbd523ac4550db5a54/README.md,https://github.com/dennybritz/reinforcement-learning/blob/06ce3127a2cb7cfd6cf2a9cbd523ac4550db5a54/PolicyGradient/README.md#L53
20Sampling,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/dennybritz/reinforcement-learning/blob/06ce3127a2cb7cfd6cf2a9cbd523ac4550db5a54/README.md,https://github.com/dennybritz/reinforcement-learning/blob/06ce3127a2cb7cfd6cf2a9cbd523ac4550db5a54/MC/README.md#L48
20Solution,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,14,14,14,14,14,14,14,14,14,14,14,14,14,14,15,15,15,15,15,15,15,15,15,15,15,15,15,https://github.com/dennybritz/reinforcement-learning/blob/06ce3127a2cb7cfd6cf2a9cbd523ac4550db5a54/README.md,https://github.com/dennybritz/reinforcement-learning/blob/06ce3127a2cb7cfd6cf2a9cbd523ac4550db5a54/TD/README.md#L46
