code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,rev_18,rev_19,rev_20,rev_21,rev_22,rev_23,rev_24,rev_25,rev_26,rev_27,rev_28,rev_29,rev_30,rev_31,rev_32,rev_33,rev_34,rev_35,rev_36,rev_37,rev_38,rev_39,rev_40,rev_41,rev_42,rev_43,rev_44,rev_45,rev_46,rev_47,rev_48,rev_49,rev_50,rev_51,rev_52,rev_53,rev_54,rev_55,rev_56,rev_57,rev_58,rev_59,rev_60,rev_61,rev_62,rev_63,rev_64,rev_65,rev_66,rev_67,rev_68,rev_69,rev_70,rev_71,rev_72,rev_73,rev_74,rev_75,rev_76,rev_77,rev_78,rev_79,rev_80,rev_81,rev_82,rev_83,rev_84,rev_85,rev_86,rev_87,rev_88,rev_89,rev_90,rev_91,rev_92,rev_93,rev_94,rev_95,rev_96,rev_97,rev_98,rev_99,rev_100,rev_101,rev_102,rev_103,rev_104,rev_105,rev_106,rev_107,doc_link,source_link
JSAyjakN,repo,README.md,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8,11,11,11,11,https://github.com/shengxinjing/programmer-job-blacklist/blob/164a61e2f95713d87b2464bd477693b1f4b9b33d/README.md,https://github.com/shengxinjing/programmer-job-blacklist/blob/164a61e2f95713d87b2464bd477693b1f4b9b33d/docs/blacklist/demo.md#L52
MacBookPro8,repo,README.md,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,6,6,6,18,18,18,18,18,https://github.com/shengxinjing/programmer-job-blacklist/blob/164a61e2f95713d87b2464bd477693b1f4b9b33d/README.md,https://github.com/shengxinjing/programmer-job-blacklist/blob/164a61e2f95713d87b2464bd477693b1f4b9b33d/docs/blacklist/demo.md#L113
MzA3MjA4MDI5OQ,repo,README.md,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,3,3,9,9,9,9,9,https://github.com/shengxinjing/programmer-job-blacklist/blob/164a61e2f95713d87b2464bd477693b1f4b9b33d/README.md,https://github.com/shengxinjing/programmer-job-blacklist/blob/164a61e2f95713d87b2464bd477693b1f4b9b33d/docs/blacklist/demo.md#L113
MzUyMDAwOTUwMA,repo,README.md,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,3,3,9,9,9,9,9,https://github.com/shengxinjing/programmer-job-blacklist/blob/164a61e2f95713d87b2464bd477693b1f4b9b33d/README.md,https://github.com/shengxinjing/programmer-job-blacklist/blob/164a61e2f95713d87b2464bd477693b1f4b9b33d/docs/blacklist/demo.md#L114
OSX,repo,README.md,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,12,12,12,12,36,36,36,36,36,https://github.com/shengxinjing/programmer-job-blacklist/blob/164a61e2f95713d87b2464bd477693b1f4b9b33d/README.md,https://github.com/shengxinjing/programmer-job-blacklist/blob/164a61e2f95713d87b2464bd477693b1f4b9b33d/docs/blacklist/demo.md#L113
TEC2017090408940200,repo,README.md,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,1,3,3,3,3,9,9,9,9,9,https://github.com/shengxinjing/programmer-job-blacklist/blob/164a61e2f95713d87b2464bd477693b1f4b9b33d/README.md,https://github.com/shengxinjing/programmer-job-blacklist/blob/164a61e2f95713d87b2464bd477693b1f4b9b33d/docs/blacklist/demo.md#L87
VR,repo,README.md,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,1,3,3,3,3,9,9,9,9,9,https://github.com/shengxinjing/programmer-job-blacklist/blob/164a61e2f95713d87b2464bd477693b1f4b9b33d/README.md,https://github.com/shengxinjing/programmer-job-blacklist/blob/164a61e2f95713d87b2464bd477693b1f4b9b33d/docs/blacklist/demo.md#L85
WIFI,repo,README.md,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,6,6,6,18,18,18,18,18,https://github.com/shengxinjing/programmer-job-blacklist/blob/164a61e2f95713d87b2464bd477693b1f4b9b33d/README.md,https://github.com/shengxinjing/programmer-job-blacklist/blob/164a61e2f95713d87b2464bd477693b1f4b9b33d/docs/blacklist/demo.md#L113
build(15G1217),repo,README.md,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,6,6,6,18,18,18,18,18,https://github.com/shengxinjing/programmer-job-blacklist/blob/164a61e2f95713d87b2464bd477693b1f4b9b33d/README.md,https://github.com/shengxinjing/programmer-job-blacklist/blob/164a61e2f95713d87b2464bd477693b1f4b9b33d/docs/blacklist/demo.md#L113
encode_id,repo,README.md,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,16,22,22,22,22,https://github.com/shengxinjing/programmer-job-blacklist/blob/164a61e2f95713d87b2464bd477693b1f4b9b33d/README.md,https://github.com/shengxinjing/programmer-job-blacklist/blob/164a61e2f95713d87b2464bd477693b1f4b9b33d/docs/blacklist/demo.md#L52
eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9,repo,README.md,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,16,22,22,22,22,https://github.com/shengxinjing/programmer-job-blacklist/blob/164a61e2f95713d87b2464bd477693b1f4b9b33d/README.md,https://github.com/shengxinjing/programmer-job-blacklist/blob/164a61e2f95713d87b2464bd477693b1f4b9b33d/docs/blacklist/demo.md#L52
eyJpZCI6MTk2MDc3MzAsImlhdCI6MTU0ODY1NDIxOX0,repo,README.md,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8,11,11,11,11,https://github.com/shengxinjing/programmer-job-blacklist/blob/164a61e2f95713d87b2464bd477693b1f4b9b33d/README.md,https://github.com/shengxinjing/programmer-job-blacklist/blob/164a61e2f95713d87b2464bd477693b1f4b9b33d/docs/blacklist/demo.md#L52
eyJpZCI6MTk3MzA4MjAsImlhdCI6MTU0ODY1NDI3OH0,repo,README.md,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8,11,11,11,11,https://github.com/shengxinjing/programmer-job-blacklist/blob/164a61e2f95713d87b2464bd477693b1f4b9b33d/README.md,https://github.com/shengxinjing/programmer-job-blacklist/blob/164a61e2f95713d87b2464bd477693b1f4b9b33d/docs/blacklist/demo.md#L55
fontScale,repo,README.md,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,6,6,6,18,18,18,18,18,https://github.com/shengxinjing/programmer-job-blacklist/blob/164a61e2f95713d87b2464bd477693b1f4b9b33d/README.md,https://github.com/shengxinjing/programmer-job-blacklist/blob/164a61e2f95713d87b2464bd477693b1f4b9b33d/docs/blacklist/demo.md#L113
gossip_detail,repo,README.md,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,16,22,22,22,22,https://github.com/shengxinjing/programmer-job-blacklist/blob/164a61e2f95713d87b2464bd477693b1f4b9b33d/README.md,https://github.com/shengxinjing/programmer-job-blacklist/blob/164a61e2f95713d87b2464bd477693b1f4b9b33d/docs/blacklist/demo.md#L52
iMac,repo,README.md,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,6,6,6,18,18,18,18,18,https://github.com/shengxinjing/programmer-job-blacklist/blob/164a61e2f95713d87b2464bd477693b1f4b9b33d/README.md,https://github.com/shengxinjing/programmer-job-blacklist/blob/164a61e2f95713d87b2464bd477693b1f4b9b33d/docs/blacklist/demo.md#L113
pass_ticket,repo,README.md,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,6,6,6,18,18,18,18,18,https://github.com/shengxinjing/programmer-job-blacklist/blob/164a61e2f95713d87b2464bd477693b1f4b9b33d/README.md,https://github.com/shengxinjing/programmer-job-blacklist/blob/164a61e2f95713d87b2464bd477693b1f4b9b33d/docs/blacklist/demo.md#L113
qKCaQ,repo,README.md,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,3,3,9,9,9,9,9,https://github.com/shengxinjing/programmer-job-blacklist/blob/164a61e2f95713d87b2464bd477693b1f4b9b33d/README.md,https://github.com/shengxinjing/programmer-job-blacklist/blob/164a61e2f95713d87b2464bd477693b1f4b9b33d/docs/blacklist/demo.md#L111
s6mb9CuZGxkN8n8xyrkfgTaSA,repo,README.md,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,6,6,6,18,18,18,18,18,https://github.com/shengxinjing/programmer-job-blacklist/blob/164a61e2f95713d87b2464bd477693b1f4b9b33d/README.md,https://github.com/shengxinjing/programmer-job-blacklist/blob/164a61e2f95713d87b2464bd477693b1f4b9b33d/docs/blacklist/demo.md#L113
utm_medium,repo,README.md,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,2,6,6,6,6,9,9,9,9,9,https://github.com/shengxinjing/programmer-job-blacklist/blob/164a61e2f95713d87b2464bd477693b1f4b9b33d/README.md,https://github.com/shengxinjing/programmer-job-blacklist/blob/164a61e2f95713d87b2464bd477693b1f4b9b33d/docs/colleague/README.md#L3
utm_oi,repo,README.md,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,1,3,3,3,3,9,9,9,9,9,https://github.com/shengxinjing/programmer-job-blacklist/blob/164a61e2f95713d87b2464bd477693b1f4b9b33d/README.md,https://github.com/shengxinjing/programmer-job-blacklist/blob/164a61e2f95713d87b2464bd477693b1f4b9b33d/docs/colleague/README.md#L3
utm_source,repo,README.md,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,2,6,6,6,6,9,9,9,9,9,https://github.com/shengxinjing/programmer-job-blacklist/blob/164a61e2f95713d87b2464bd477693b1f4b9b33d/README.md,https://github.com/shengxinjing/programmer-job-blacklist/blob/164a61e2f95713d87b2464bd477693b1f4b9b33d/docs/colleague/README.md#L3
wechat_session,repo,README.md,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,1,3,3,3,3,9,9,9,9,9,https://github.com/shengxinjing/programmer-job-blacklist/blob/164a61e2f95713d87b2464bd477693b1f4b9b33d/README.md,https://github.com/shengxinjing/programmer-job-blacklist/blob/164a61e2f95713d87b2464bd477693b1f4b9b33d/docs/colleague/README.md#L3
