code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,rev_18,rev_19,rev_20,rev_21,rev_22,rev_23,rev_24,rev_25,rev_26,rev_27,rev_28,rev_29,rev_30,rev_31,rev_32,rev_33,rev_34,rev_35,rev_36,rev_37,rev_38,rev_39,rev_40,rev_41,rev_42,rev_43,rev_44,rev_45,rev_46,rev_47,rev_48,rev_49,rev_50,rev_51,rev_52,rev_53,rev_54,rev_55,rev_56,rev_57,rev_58,rev_59,rev_60,rev_61,rev_62,rev_63,rev_64,rev_65,rev_66,rev_67,rev_68,rev_69,rev_70,rev_71,rev_72,rev_73,rev_74,rev_75,rev_76,rev_77,rev_78,rev_79,rev_80,rev_81,rev_82,rev_83,rev_84,rev_85,rev_86,rev_87,rev_88,rev_89,rev_90,rev_91,rev_92,rev_93,rev_94,rev_95,rev_96,rev_97,rev_98,rev_99,rev_100,rev_101,rev_102,rev_103,rev_104,rev_105,rev_106,rev_107,rev_108,rev_109,rev_110,rev_111,rev_112,rev_113,rev_114,rev_115,rev_116,rev_117,rev_118,rev_119,rev_120,rev_121,rev_122,rev_123,rev_124,rev_125,rev_126,rev_127,rev_128,rev_129,rev_130,rev_131,rev_132,rev_133,rev_134,rev_135,rev_136,rev_137,rev_138,rev_139,rev_140,rev_141,rev_142,rev_143,rev_144,rev_145,rev_146,rev_147,rev_148,rev_149,rev_150,rev_151,rev_152,rev_153,rev_154,rev_155,rev_156,rev_157,rev_158,rev_159,rev_160,rev_161,rev_162,rev_163,rev_164,rev_165,rev_166,rev_167,rev_168,rev_169,rev_170,rev_171,rev_172,rev_173,rev_174,rev_175,rev_176,rev_177,rev_178,rev_179,rev_180,rev_181,rev_182,rev_183,rev_184,rev_185,rev_186,rev_187,rev_188,rev_189,rev_190,rev_191,doc_link,source_link
CI,repo,README.md,.,.,.,.,.,.,.,.,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/shadowsocks/ShadowsocksX-NG/blob/6f98a01c52e1494d84ab2b1b2881e15617f3b181/README.md,https://github.com/shadowsocks/ShadowsocksX-NG/blob/0e0e5126d184e39efe2f027e62f7f0129b0871f8/.github/workflows/main.yml#L1
CocoaPods,repo,README.md,.,.,.,.,.,.,.,.,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,30,30,30,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,https://github.com/shadowsocks/ShadowsocksX-NG/blob/6f98a01c52e1494d84ab2b1b2881e15617f3b181/README.md,https://github.com/shadowsocks/ShadowsocksX-NG/blob/0e0e5126d184e39efe2f027e62f7f0129b0871f8/ShadowsocksX-NG.xcodeproj/project.pbxproj#L747
GFW,repo,README.md,.,.,.,.,.,.,.,.,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,https://github.com/shadowsocks/ShadowsocksX-NG/blob/6f98a01c52e1494d84ab2b1b2881e15617f3b181/README.md,https://github.com/shadowsocks/ShadowsocksX-NG/blob/0e0e5126d184e39efe2f027e62f7f0129b0871f8/ShadowsocksX-NG/zh-Hans.lproj/PreferencesWinController.strings#L127
GPLv3,repo,README.md,.,.,.,.,.,.,.,.,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/shadowsocks/ShadowsocksX-NG/blob/6f98a01c52e1494d84ab2b1b2881e15617f3b181/README.md,https://github.com/shadowsocks/ShadowsocksX-NG/blob/0e0e5126d184e39efe2f027e62f7f0129b0871f8/ShadowsocksX-NG/Info.plist#L47
GUI,repo,README.md,.,.,.,.,.,.,.,.,.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/shadowsocks/ShadowsocksX-NG/blob/6f98a01c52e1494d84ab2b1b2881e15617f3b181/README.md,https://github.com/shadowsocks/ShadowsocksX-NG/blob/0e0e5126d184e39efe2f027e62f7f0129b0871f8/LICENSE#L662
GitHub,repo,README.md,.,.,.,.,.,.,.,.,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,https://github.com/shadowsocks/ShadowsocksX-NG/blob/6f98a01c52e1494d84ab2b1b2881e15617f3b181/README.md,https://github.com/shadowsocks/ShadowsocksX-NG/blob/0e0e5126d184e39efe2f027e62f7f0129b0871f8/Pods/RxSwift/README.md#L92
HTTP,repo,README.md,.,.,.,.,.,.,.,.,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,260,269,269,269,269,269,269,269,269,269,269,269,269,269,269,269,269,269,269,269,269,269,269,269,269,269,269,269,269,269,269,269,269,269,269,269,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,245,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,257,257,257,257,257,257,257,257,257,257,257,257,257,257,257,257,257,257,257,https://github.com/shadowsocks/ShadowsocksX-NG/blob/6f98a01c52e1494d84ab2b1b2881e15617f3b181/README.md,https://github.com/shadowsocks/ShadowsocksX-NG/blob/0e0e5126d184e39efe2f027e62f7f0129b0871f8/ShadowsocksX-NG/zh-Hans.lproj/PreferencesWinController.strings#L4
NG,repo,README.md,.,.,.,.,.,.,.,.,.,132,132,132,132,132,132,132,132,132,132,134,134,134,134,134,134,134,134,134,135,135,135,135,135,135,135,135,137,155,154,176,179,199,199,195,196,196,196,196,196,219,217,217,230,230,227,227,227,227,226,226,226,226,226,226,226,226,229,229,229,229,229,229,229,229,229,229,232,232,232,232,232,232,232,232,235,224,224,224,224,224,224,224,229,229,229,229,229,229,229,229,229,229,229,229,229,236,241,241,241,241,241,241,241,241,241,241,241,241,241,241,241,241,241,242,242,242,242,242,242,242,242,244,244,244,244,248,248,248,248,249,249,249,258,258,259,259,259,260,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,256,257,257,257,259,259,259,259,258,258,254,254,254,254,254,254,254,254,250,250,250,250,250,250,250,250,https://github.com/shadowsocks/ShadowsocksX-NG/blob/6f98a01c52e1494d84ab2b1b2881e15617f3b181/README.md,https://github.com/shadowsocks/ShadowsocksX-NG/blob/0e0e5126d184e39efe2f027e62f7f0129b0871f8/proxy_conf_helper/main.m#L13
OS,repo,README.md,.,.,.,.,.,.,.,.,.,-,-,-,-,-,-,-,-,-,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,8,8,8,17,17,17,17,17,17,17,17,17,18,18,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/shadowsocks/ShadowsocksX-NG/blob/6f98a01c52e1494d84ab2b1b2881e15617f3b181/README.md,https://github.com/shadowsocks/ShadowsocksX-NG/blob/fd99f1613038f83bed9adbe65e7cc8cf3e29e816/Pods/Pods.xcodeproj/project.pbxproj#L1395
OTA,repo,README.md,.,.,.,.,.,.,.,.,.,0,0,0,0,0,0,0,0,0,0,0,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7,7,7,7,7,7,7,7,7,7,7,13,13,13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/shadowsocks/ShadowsocksX-NG/blob/6f98a01c52e1494d84ab2b1b2881e15617f3b181/README.md,https://github.com/shadowsocks/ShadowsocksX-NG/blob/fd99f1613038f83bed9adbe65e7cc8cf3e29e816/ShadowsocksX-NGTests/ServerProfileTests.swift#L24
