code_element,page_type,page_name,rev_1,rev_2,rev_SHA_1,rev_timestamp_1,rev_SHA_2,rev_timestamp_2,doc_SHA,doc_timestamp,doc_link,source_link
API,repo,README.md,34,34,68eedf365aee896255875e1ea8f55597228fff29,1626255480,68eedf365aee896255875e1ea8f55597228fff29,1626255480,68eedf365aee896255875e1ea8f55597228fff29,1626255480,https://github.com/google/rtb_troubleshooting_connector/blob/68eedf365aee896255875e1ea8f55597228fff29/README.md,https://github.com/google/rtb_troubleshooting_connector/blob/68eedf365aee896255875e1ea8f55597228fff29/tests/fakes/data.js#L449
EQUALS,repo,README.md,13,13,68eedf365aee896255875e1ea8f55597228fff29,1626255480,68eedf365aee896255875e1ea8f55597228fff29,1626255480,68eedf365aee896255875e1ea8f55597228fff29,1626255480,https://github.com/google/rtb_troubleshooting_connector/blob/68eedf365aee896255875e1ea8f55597228fff29/README.md,https://github.com/google/rtb_troubleshooting_connector/blob/68eedf365aee896255875e1ea8f55597228fff29/tests/filter_set_calculator_test.js#L83
Environment,repo,README.md,1,1,68eedf365aee896255875e1ea8f55597228fff29,1626255480,68eedf365aee896255875e1ea8f55597228fff29,1626255480,68eedf365aee896255875e1ea8f55597228fff29,1626255480,https://github.com/google/rtb_troubleshooting_connector/blob/68eedf365aee896255875e1ea8f55597228fff29/README.md,https://github.com/google/rtb_troubleshooting_connector/blob/68eedf365aee896255875e1ea8f55597228fff29/src/main.js#L126
ID,repo,README.md,24,24,68eedf365aee896255875e1ea8f55597228fff29,1626255480,68eedf365aee896255875e1ea8f55597228fff29,1626255480,68eedf365aee896255875e1ea8f55597228fff29,1626255480,https://github.com/google/rtb_troubleshooting_connector/blob/68eedf365aee896255875e1ea8f55597228fff29/README.md,https://github.com/google/rtb_troubleshooting_connector/blob/68eedf365aee896255875e1ea8f55597228fff29/tests/filter_set_calculator_test.js#L32
II,repo,README.md,3,3,68eedf365aee896255875e1ea8f55597228fff29,1626255480,68eedf365aee896255875e1ea8f55597228fff29,1626255480,68eedf365aee896255875e1ea8f55597228fff29,1626255480,https://github.com/google/rtb_troubleshooting_connector/blob/68eedf365aee896255875e1ea8f55597228fff29/README.md,https://github.com/google/rtb_troubleshooting_connector/blob/68eedf365aee896255875e1ea8f55597228fff29/DEPLOYMENT.md#L31
IN,repo,README.md,2,2,68eedf365aee896255875e1ea8f55597228fff29,1626255480,68eedf365aee896255875e1ea8f55597228fff29,1626255480,68eedf365aee896255875e1ea8f55597228fff29,1626255480,https://github.com/google/rtb_troubleshooting_connector/blob/68eedf365aee896255875e1ea8f55597228fff29/README.md,https://github.com/google/rtb_troubleshooting_connector/blob/68eedf365aee896255875e1ea8f55597228fff29/tests/data_request_test.js#L508
Platform,repo,README.md,4,4,68eedf365aee896255875e1ea8f55597228fff29,1626255480,68eedf365aee896255875e1ea8f55597228fff29,1626255480,68eedf365aee896255875e1ea8f55597228fff29,1626255480,https://github.com/google/rtb_troubleshooting_connector/blob/68eedf365aee896255875e1ea8f55597228fff29/README.md,https://github.com/google/rtb_troubleshooting_connector/blob/68eedf365aee896255875e1ea8f55597228fff29/src/main.js#L134
RTB,repo,README.md,18,18,68eedf365aee896255875e1ea8f55597228fff29,1626255480,68eedf365aee896255875e1ea8f55597228fff29,1626255480,68eedf365aee896255875e1ea8f55597228fff29,1626255480,https://github.com/google/rtb_troubleshooting_connector/blob/68eedf365aee896255875e1ea8f55597228fff29/README.md,https://github.com/google/rtb_troubleshooting_connector/blob/68eedf365aee896255875e1ea8f55597228fff29/src/rtb_dictionary_collection.js#L18
filterSets,repo,README.md,97,97,68eedf365aee896255875e1ea8f55597228fff29,1626255480,68eedf365aee896255875e1ea8f55597228fff29,1626255480,68eedf365aee896255875e1ea8f55597228fff29,1626255480,https://github.com/google/rtb_troubleshooting_connector/blob/68eedf365aee896255875e1ea8f55597228fff29/README.md,https://github.com/google/rtb_troubleshooting_connector/blob/68eedf365aee896255875e1ea8f55597228fff29/tests/row_processor_test.js#L20
null,repo,README.md,620,620,68eedf365aee896255875e1ea8f55597228fff29,1626255480,68eedf365aee896255875e1ea8f55597228fff29,1626255480,68eedf365aee896255875e1ea8f55597228fff29,1626255480,https://github.com/google/rtb_troubleshooting_connector/blob/68eedf365aee896255875e1ea8f55597228fff29/README.md,https://github.com/google/rtb_troubleshooting_connector/blob/68eedf365aee896255875e1ea8f55597228fff29/tests/row_processor_test.js#L91
