code_element,page_type,page_name,rev_1,rev_2,rev_SHA_1,rev_timestamp_1,rev_SHA_2,rev_timestamp_2,doc_SHA,doc_timestamp,doc_link,source_link
BEGIN,repo,README.md,1,1,6af09f53b41ba09a75e024af8628112fc64b3fec,1467397384,41463371ead1347797c6e645a129c37b6d8e7bc1,1467422065,6af09f53b41ba09a75e024af8628112fc64b3fec,1467397384,https://github.com/google/drone-firebase/blob/6af09f53b41ba09a75e024af8628112fc64b3fec/README.md,https://github.com/google/drone-firebase/blob/41463371ead1347797c6e645a129c37b6d8e7bc1/main_test.go#L56
KEY,repo,README.md,1,1,6af09f53b41ba09a75e024af8628112fc64b3fec,1467397384,41463371ead1347797c6e645a129c37b6d8e7bc1,1467422065,6af09f53b41ba09a75e024af8628112fc64b3fec,1467397384,https://github.com/google/drone-firebase/blob/6af09f53b41ba09a75e024af8628112fc64b3fec/README.md,https://github.com/google/drone-firebase/blob/41463371ead1347797c6e645a129c37b6d8e7bc1/main_test.go#L56
PRIVATE,repo,README.md,1,1,6af09f53b41ba09a75e024af8628112fc64b3fec,1467397384,41463371ead1347797c6e645a129c37b6d8e7bc1,1467422065,6af09f53b41ba09a75e024af8628112fc64b3fec,1467397384,https://github.com/google/drone-firebase/blob/6af09f53b41ba09a75e024af8628112fc64b3fec/README.md,https://github.com/google/drone-firebase/blob/41463371ead1347797c6e645a129c37b6d8e7bc1/main_test.go#L56
RSA,repo,README.md,1,1,6af09f53b41ba09a75e024af8628112fc64b3fec,1467397384,41463371ead1347797c6e645a129c37b6d8e7bc1,1467422065,6af09f53b41ba09a75e024af8628112fc64b3fec,1467397384,https://github.com/google/drone-firebase/blob/6af09f53b41ba09a75e024af8628112fc64b3fec/README.md,https://github.com/google/drone-firebase/blob/41463371ead1347797c6e645a129c37b6d8e7bc1/main_test.go#L56
author_email,repo,README.md,1,1,6af09f53b41ba09a75e024af8628112fc64b3fec,1467397384,41463371ead1347797c6e645a129c37b6d8e7bc1,1467422065,6af09f53b41ba09a75e024af8628112fc64b3fec,1467397384,https://github.com/google/drone-firebase/blob/6af09f53b41ba09a75e024af8628112fc64b3fec/README.md,https://github.com/google/drone-firebase/blob/41463371ead1347797c6e645a129c37b6d8e7bc1/main_test.go#L50
clone_url,repo,README.md,1,1,6af09f53b41ba09a75e024af8628112fc64b3fec,1467397384,41463371ead1347797c6e645a129c37b6d8e7bc1,1467422065,6af09f53b41ba09a75e024af8628112fc64b3fec,1467397384,https://github.com/google/drone-firebase/blob/6af09f53b41ba09a75e024af8628112fc64b3fec/README.md,https://github.com/google/drone-firebase/blob/41463371ead1347797c6e645a129c37b6d8e7bc1/main_test.go#L41
full_name,repo,README.md,1,1,6af09f53b41ba09a75e024af8628112fc64b3fec,1467397384,41463371ead1347797c6e645a129c37b6d8e7bc1,1467422065,6af09f53b41ba09a75e024af8628112fc64b3fec,1467397384,https://github.com/google/drone-firebase/blob/6af09f53b41ba09a75e024af8628112fc64b3fec/README.md,https://github.com/google/drone-firebase/blob/41463371ead1347797c6e645a129c37b6d8e7bc1/main_test.go#L39
link_url,repo,README.md,1,1,6af09f53b41ba09a75e024af8628112fc64b3fec,1467397384,41463371ead1347797c6e645a129c37b6d8e7bc1,1467422065,6af09f53b41ba09a75e024af8628112fc64b3fec,1467397384,https://github.com/google/drone-firebase/blob/6af09f53b41ba09a75e024af8628112fc64b3fec/README.md,https://github.com/google/drone-firebase/blob/41463371ead1347797c6e645a129c37b6d8e7bc1/main_test.go#L40
make,repo,README.md,5,5,6af09f53b41ba09a75e024af8628112fc64b3fec,1467397384,41463371ead1347797c6e645a129c37b6d8e7bc1,1467422065,6af09f53b41ba09a75e024af8628112fc64b3fec,1467397384,https://github.com/google/drone-firebase/blob/6af09f53b41ba09a75e024af8628112fc64b3fec/README.md,https://github.com/google/drone-firebase/blob/41463371ead1347797c6e645a129c37b6d8e7bc1/LICENSE#L77
nMIICXAIBAAKBgQC,repo,README.md,1,1,6af09f53b41ba09a75e024af8628112fc64b3fec,1467397384,41463371ead1347797c6e645a129c37b6d8e7bc1,1467422065,6af09f53b41ba09a75e024af8628112fc64b3fec,1467397384,https://github.com/google/drone-firebase/blob/6af09f53b41ba09a75e024af8628112fc64b3fec/README.md,https://github.com/google/drone-firebase/blob/41463371ead1347797c6e645a129c37b6d8e7bc1/main_test.go#L56
project_id,repo,README.md,5,5,6af09f53b41ba09a75e024af8628112fc64b3fec,1467397384,41463371ead1347797c6e645a129c37b6d8e7bc1,1467422065,6af09f53b41ba09a75e024af8628112fc64b3fec,1467397384,https://github.com/google/drone-firebase/blob/6af09f53b41ba09a75e024af8628112fc64b3fec/README.md,https://github.com/google/drone-firebase/blob/41463371ead1347797c6e645a129c37b6d8e7bc1/main_test.go#L61
