code_element,page_type,page_name,rev_1,rev_2,rev_SHA_1,rev_timestamp_1,rev_SHA_2,rev_timestamp_2,doc_SHA,doc_timestamp,doc_link,source_link
Allow,repo,README.md,2,2,b14d5f71ad11d8ab6f50cd54f836b14b9d183e1d,1497482854,0c60c5b1ec335fe09d8173ee6e9721dc3c1f92d6,1497482966,b14d5f71ad11d8ab6f50cd54f836b14b9d183e1d,1497482854,https://github.com/google/okay/blob/b14d5f71ad11d8ab6f50cd54f836b14b9d183e1d/README.md,https://github.com/google/okay/blob/0c60c5b1ec335fe09d8173ee6e9721dc3c1f92d6/okay.go#L159
Allow(),repo,README.md,2,2,b14d5f71ad11d8ab6f50cd54f836b14b9d183e1d,1497482854,0c60c5b1ec335fe09d8173ee6e9721dc3c1f92d6,1497482966,b14d5f71ad11d8ab6f50cd54f836b14b9d183e1d,1497482854,https://github.com/google/okay/blob/b14d5f71ad11d8ab6f50cd54f836b14b9d183e1d/README.md,https://github.com/google/okay/blob/0c60c5b1ec335fe09d8173ee6e9721dc3c1f92d6/okay.go#L159
OK,repo,README.md,49,49,b14d5f71ad11d8ab6f50cd54f836b14b9d183e1d,1497482854,0c60c5b1ec335fe09d8173ee6e9721dc3c1f92d6,1497482966,b14d5f71ad11d8ab6f50cd54f836b14b9d183e1d,1497482854,https://github.com/google/okay/blob/b14d5f71ad11d8ab6f50cd54f836b14b9d183e1d/README.md,https://github.com/google/okay/blob/0c60c5b1ec335fe09d8173ee6e9721dc3c1f92d6/okay_test.go#L105
Valid(),repo,README.md,24,24,b14d5f71ad11d8ab6f50cd54f836b14b9d183e1d,1497482854,0c60c5b1ec335fe09d8173ee6e9721dc3c1f92d6,1497482966,b14d5f71ad11d8ab6f50cd54f836b14b9d183e1d,1497482854,https://github.com/google/okay/blob/b14d5f71ad11d8ab6f50cd54f836b14b9d183e1d/README.md,https://github.com/google/okay/blob/0c60c5b1ec335fe09d8173ee6e9721dc3c1f92d6/okay_test.go#L24
Validate,repo,README.md,2,2,b14d5f71ad11d8ab6f50cd54f836b14b9d183e1d,1497482854,0c60c5b1ec335fe09d8173ee6e9721dc3c1f92d6,1497482966,b14d5f71ad11d8ab6f50cd54f836b14b9d183e1d,1497482854,https://github.com/google/okay/blob/b14d5f71ad11d8ab6f50cd54f836b14b9d183e1d/README.md,https://github.com/google/okay/blob/0c60c5b1ec335fe09d8173ee6e9721dc3c1f92d6/okay.go#L96
"Validate(ok, func()",repo,README.md,4,4,b14d5f71ad11d8ab6f50cd54f836b14b9d183e1d,1497482854,0c60c5b1ec335fe09d8173ee6e9721dc3c1f92d6,1497482966,b14d5f71ad11d8ab6f50cd54f836b14b9d183e1d,1497482854,https://github.com/google/okay/blob/b14d5f71ad11d8ab6f50cd54f836b14b9d183e1d/README.md,https://github.com/google/okay/blob/0c60c5b1ec335fe09d8173ee6e9721dc3c1f92d6/okay.go#L180
Verify,repo,README.md,9,9,b14d5f71ad11d8ab6f50cd54f836b14b9d183e1d,1497482854,0c60c5b1ec335fe09d8173ee6e9721dc3c1f92d6,1497482966,b14d5f71ad11d8ab6f50cd54f836b14b9d183e1d,1497482854,https://github.com/google/okay/blob/b14d5f71ad11d8ab6f50cd54f836b14b9d183e1d/README.md,https://github.com/google/okay/blob/0c60c5b1ec335fe09d8173ee6e9721dc3c1f92d6/okay.go#L36
Verify(),repo,README.md,2,2,b14d5f71ad11d8ab6f50cd54f836b14b9d183e1d,1497482854,0c60c5b1ec335fe09d8173ee6e9721dc3c1f92d6,1497482966,b14d5f71ad11d8ab6f50cd54f836b14b9d183e1d,1497482854,https://github.com/google/okay/blob/b14d5f71ad11d8ab6f50cd54f836b14b9d183e1d/README.md,https://github.com/google/okay/blob/0c60c5b1ec335fe09d8173ee6e9721dc3c1f92d6/okay.go#L126
func(),repo,README.md,8,8,b14d5f71ad11d8ab6f50cd54f836b14b9d183e1d,1497482854,0c60c5b1ec335fe09d8173ee6e9721dc3c1f92d6,1497482966,b14d5f71ad11d8ab6f50cd54f836b14b9d183e1d,1497482854,https://github.com/google/okay/blob/b14d5f71ad11d8ab6f50cd54f836b14b9d183e1d/README.md,https://github.com/google/okay/blob/0c60c5b1ec335fe09d8173ee6e9721dc3c1f92d6/okay_test.go#L28
okay,repo,README.md,3,3,b14d5f71ad11d8ab6f50cd54f836b14b9d183e1d,1497482854,0c60c5b1ec335fe09d8173ee6e9721dc3c1f92d6,1497482966,b14d5f71ad11d8ab6f50cd54f836b14b9d183e1d,1497482854,https://github.com/google/okay/blob/b14d5f71ad11d8ab6f50cd54f836b14b9d183e1d/README.md,https://github.com/google/okay/blob/0c60c5b1ec335fe09d8173ee6e9721dc3c1f92d6/okay_test.go#L15
