code_element,page_type,page_name,rev_1,rev_2,rev_SHA_1,rev_timestamp_1,rev_SHA_2,rev_timestamp_2,doc_SHA,doc_timestamp,doc_link,source_link
API,repo,README.md,2,2,b530e3b53312ed404a856e88f8c0b6dd9ebcfd4b,1581593183,b530e3b53312ed404a856e88f8c0b6dd9ebcfd4b,1581593183,b530e3b53312ed404a856e88f8c0b6dd9ebcfd4b,1581593183,https://github.com/google/revisiting-self-supervised/blob/b530e3b53312ed404a856e88f8c0b6dd9ebcfd4b/README.md,https://github.com/google/revisiting-self-supervised/blob/b530e3b53312ed404a856e88f8c0b6dd9ebcfd4b/self_supervision/self_supervision_lib.py#L56
README,repo,README.md,1,1,b530e3b53312ed404a856e88f8c0b6dd9ebcfd4b,1581593183,b530e3b53312ed404a856e88f8c0b6dd9ebcfd4b,1581593183,b530e3b53312ed404a856e88f8c0b6dd9ebcfd4b,1581593183,https://github.com/google/revisiting-self-supervised/blob/b530e3b53312ed404a856e88f8c0b6dd9ebcfd4b/README.md,https://github.com/google/revisiting-self-supervised/blob/b530e3b53312ed404a856e88f8c0b6dd9ebcfd4b/self_supervision/patch_utils.py#L42
ResNet,repo,README.md,5,5,b530e3b53312ed404a856e88f8c0b6dd9ebcfd4b,1581593183,b530e3b53312ed404a856e88f8c0b6dd9ebcfd4b,1581593183,b530e3b53312ed404a856e88f8c0b6dd9ebcfd4b,1581593183,https://github.com/google/revisiting-self-supervised/blob/b530e3b53312ed404a856e88f8c0b6dd9ebcfd4b/README.md,https://github.com/google/revisiting-self-supervised/blob/b530e3b53312ed404a856e88f8c0b6dd9ebcfd4b/train_and_eval.py#L150
TPU,repo,README.md,11,11,b530e3b53312ed404a856e88f8c0b6dd9ebcfd4b,1581593183,b530e3b53312ed404a856e88f8c0b6dd9ebcfd4b,1581593183,b530e3b53312ed404a856e88f8c0b6dd9ebcfd4b,1581593183,https://github.com/google/revisiting-self-supervised/blob/b530e3b53312ed404a856e88f8c0b6dd9ebcfd4b/README.md,https://github.com/google/revisiting-self-supervised/blob/b530e3b53312ed404a856e88f8c0b6dd9ebcfd4b/trainer.py#L86
TPU_NAME,repo,README.md,1,1,b530e3b53312ed404a856e88f8c0b6dd9ebcfd4b,1581593183,b530e3b53312ed404a856e88f8c0b6dd9ebcfd4b,1581593183,b530e3b53312ed404a856e88f8c0b6dd9ebcfd4b,1581593183,https://github.com/google/revisiting-self-supervised/blob/b530e3b53312ed404a856e88f8c0b6dd9ebcfd4b/README.md,https://github.com/google/revisiting-self-supervised/blob/b530e3b53312ed404a856e88f8c0b6dd9ebcfd4b/train_and_eval.py#L228
dataset_dir,repo,README.md,3,3,b530e3b53312ed404a856e88f8c0b6dd9ebcfd4b,1581593183,b530e3b53312ed404a856e88f8c0b6dd9ebcfd4b,1581593183,b530e3b53312ed404a856e88f8c0b6dd9ebcfd4b,1581593183,https://github.com/google/revisiting-self-supervised/blob/b530e3b53312ed404a856e88f8c0b6dd9ebcfd4b/README.md,https://github.com/google/revisiting-self-supervised/blob/b530e3b53312ed404a856e88f8c0b6dd9ebcfd4b/train_and_eval.py#L68
hub_module,repo,README.md,7,7,b530e3b53312ed404a856e88f8c0b6dd9ebcfd4b,1581593183,b530e3b53312ed404a856e88f8c0b6dd9ebcfd4b,1581593183,b530e3b53312ed404a856e88f8c0b6dd9ebcfd4b,1581593183,https://github.com/google/revisiting-self-supervised/blob/b530e3b53312ed404a856e88f8c0b6dd9ebcfd4b/README.md,https://github.com/google/revisiting-self-supervised/blob/b530e3b53312ed404a856e88f8c0b6dd9ebcfd4b/train_and_eval.py#L129
inception_preprocessing,repo,README.md,3,3,b530e3b53312ed404a856e88f8c0b6dd9ebcfd4b,1581593183,b530e3b53312ed404a856e88f8c0b6dd9ebcfd4b,1581593183,b530e3b53312ed404a856e88f8c0b6dd9ebcfd4b,1581593183,https://github.com/google/revisiting-self-supervised/blob/b530e3b53312ed404a856e88f8c0b6dd9ebcfd4b/README.md,https://github.com/google/revisiting-self-supervised/blob/b530e3b53312ed404a856e88f8c0b6dd9ebcfd4b/preprocess.py#L26
nouse_tpu,repo,README.md,1,1,b530e3b53312ed404a856e88f8c0b6dd9ebcfd4b,1581593183,b530e3b53312ed404a856e88f8c0b6dd9ebcfd4b,1581593183,b530e3b53312ed404a856e88f8c0b6dd9ebcfd4b,1581593183,https://github.com/google/revisiting-self-supervised/blob/b530e3b53312ed404a856e88f8c0b6dd9ebcfd4b/README.md,https://github.com/google/revisiting-self-supervised/blob/b530e3b53312ed404a856e88f8c0b6dd9ebcfd4b/train_and_eval.py#L25
permutations_100_max,repo,README.md,1,1,b530e3b53312ed404a856e88f8c0b6dd9ebcfd4b,1581593183,b530e3b53312ed404a856e88f8c0b6dd9ebcfd4b,1581593183,b530e3b53312ed404a856e88f8c0b6dd9ebcfd4b,1581593183,https://github.com/google/revisiting-self-supervised/blob/b530e3b53312ed404a856e88f8c0b6dd9ebcfd4b/README.md,https://github.com/google/revisiting-self-supervised/blob/b530e3b53312ed404a856e88f8c0b6dd9ebcfd4b/self_supervision/patch_utils.py#L43
run_eval,repo,README.md,2,2,b530e3b53312ed404a856e88f8c0b6dd9ebcfd4b,1581593183,b530e3b53312ed404a856e88f8c0b6dd9ebcfd4b,1581593183,b530e3b53312ed404a856e88f8c0b6dd9ebcfd4b,1581593183,https://github.com/google/revisiting-self-supervised/blob/b530e3b53312ed404a856e88f8c0b6dd9ebcfd4b/README.md,https://github.com/google/revisiting-self-supervised/blob/b530e3b53312ed404a856e88f8c0b6dd9ebcfd4b/train_and_eval.py#L58
