code_element,page_type,page_name,rev_1,rev_2,rev_SHA_1,rev_timestamp_1,rev_SHA_2,rev_timestamp_2,doc_SHA,doc_timestamp,doc_link,source_link
136,repo,README.md,3,3,a10a7b39659cdd39d877f7599ad6a5f534a602ae,1472055731,a10a7b39659cdd39d877f7599ad6a5f534a602ae,1472055731,a10a7b39659cdd39d877f7599ad6a5f534a602ae,1472055731,https://github.com/google/instant-hangouts/blob/a10a7b39659cdd39d877f7599ad6a5f534a602ae/README.md,https://github.com/google/instant-hangouts/blob/a10a7b39659cdd39d877f7599ad6a5f534a602ae/src/instanthangouts.js#L96
300,repo,README.md,3,3,a10a7b39659cdd39d877f7599ad6a5f534a602ae,1472055731,a10a7b39659cdd39d877f7599ad6a5f534a602ae,1472055731,a10a7b39659cdd39d877f7599ad6a5f534a602ae,1472055731,https://github.com/google/instant-hangouts/blob/a10a7b39659cdd39d877f7599ad6a5f534a602ae/README.md,https://github.com/google/instant-hangouts/blob/a10a7b39659cdd39d877f7599ad6a5f534a602ae/src/instanthangouts.js#L98
API,repo,README.md,10,10,a10a7b39659cdd39d877f7599ad6a5f534a602ae,1472055731,a10a7b39659cdd39d877f7599ad6a5f534a602ae,1472055731,a10a7b39659cdd39d877f7599ad6a5f534a602ae,1472055731,https://github.com/google/instant-hangouts/blob/a10a7b39659cdd39d877f7599ad6a5f534a602ae/README.md,https://github.com/google/instant-hangouts/blob/a10a7b39659cdd39d877f7599ad6a5f534a602ae/src/instanthangouts.js#L22
DOM,repo,README.md,6,6,a10a7b39659cdd39d877f7599ad6a5f534a602ae,1472055731,a10a7b39659cdd39d877f7599ad6a5f534a602ae,1472055731,a10a7b39659cdd39d877f7599ad6a5f534a602ae,1472055731,https://github.com/google/instant-hangouts/blob/a10a7b39659cdd39d877f7599ad6a5f534a602ae/README.md,https://github.com/google/instant-hangouts/blob/a10a7b39659cdd39d877f7599ad6a5f534a602ae/src/instanthangouts.js#L81
HTML,repo,README.md,8,8,a10a7b39659cdd39d877f7599ad6a5f534a602ae,1472055731,a10a7b39659cdd39d877f7599ad6a5f534a602ae,1472055731,a10a7b39659cdd39d877f7599ad6a5f534a602ae,1472055731,https://github.com/google/instant-hangouts/blob/a10a7b39659cdd39d877f7599ad6a5f534a602ae/README.md,https://github.com/google/instant-hangouts/blob/a10a7b39659cdd39d877f7599ad6a5f534a602ae/src/instanthangouts.js#L22
URL,repo,README.md,6,6,a10a7b39659cdd39d877f7599ad6a5f534a602ae,1472055731,a10a7b39659cdd39d877f7599ad6a5f534a602ae,1472055731,a10a7b39659cdd39d877f7599ad6a5f534a602ae,1472055731,https://github.com/google/instant-hangouts/blob/a10a7b39659cdd39d877f7599ad6a5f534a602ae/README.md,https://github.com/google/instant-hangouts/blob/a10a7b39659cdd39d877f7599ad6a5f534a602ae/src/instanthangouts.js#L41
class='instanthangouts',repo,README.md,11,11,a10a7b39659cdd39d877f7599ad6a5f534a602ae,1472055731,a10a7b39659cdd39d877f7599ad6a5f534a602ae,1472055731,a10a7b39659cdd39d877f7599ad6a5f534a602ae,1472055731,https://github.com/google/instant-hangouts/blob/a10a7b39659cdd39d877f7599ad6a5f534a602ae/README.md,https://github.com/google/instant-hangouts/blob/a10a7b39659cdd39d877f7599ad6a5f534a602ae/src/instanthangouts.js#L51
createhangout,repo,README.md,13,13,a10a7b39659cdd39d877f7599ad6a5f534a602ae,1472055731,a10a7b39659cdd39d877f7599ad6a5f534a602ae,1472055731,a10a7b39659cdd39d877f7599ad6a5f534a602ae,1472055731,https://github.com/google/instant-hangouts/blob/a10a7b39659cdd39d877f7599ad6a5f534a602ae/README.md,https://github.com/google/instant-hangouts/blob/a10a7b39659cdd39d877f7599ad6a5f534a602ae/test/instanthangouts.js#L86
en,repo,README.md,3,3,a10a7b39659cdd39d877f7599ad6a5f534a602ae,1472055731,a10a7b39659cdd39d877f7599ad6a5f534a602ae,1472055731,a10a7b39659cdd39d877f7599ad6a5f534a602ae,1472055731,https://github.com/google/instant-hangouts/blob/a10a7b39659cdd39d877f7599ad6a5f534a602ae/README.md,https://github.com/google/instant-hangouts/blob/a10a7b39659cdd39d877f7599ad6a5f534a602ae/src/instanthangouts.js#L79
explicit,repo,README.md,5,5,a10a7b39659cdd39d877f7599ad6a5f534a602ae,1472055731,a10a7b39659cdd39d877f7599ad6a5f534a602ae,1472055731,a10a7b39659cdd39d877f7599ad6a5f534a602ae,1472055731,https://github.com/google/instant-hangouts/blob/a10a7b39659cdd39d877f7599ad6a5f534a602ae/README.md,https://github.com/google/instant-hangouts/blob/a10a7b39659cdd39d877f7599ad6a5f534a602ae/src/instanthangouts.js#L80
