code_element,page_type,page_name,rev_1,rev_2,rev_SHA_1,rev_timestamp_1,rev_SHA_2,rev_timestamp_2,doc_SHA,doc_timestamp,doc_link,source_link
ANY,repo,README.md,35,35,11c41c70969c67eace3dd3df1a7905a46dde6c5d,1550274325,ef579f5f2f93c818f3ba59a15cfdecd1ef0d32fe,1620517647,11c41c70969c67eace3dd3df1a7905a46dde6c5d,1550274325,https://github.com/google/fidi/blob/11c41c70969c67eace3dd3df1a7905a46dde6c5d/README.md,https://github.com/google/fidi/blob/ef579f5f2f93c818f3ba59a15cfdecd1ef0d32fe/src/fidi_server_application.h#L13
AS,repo,README.md,35,35,11c41c70969c67eace3dd3df1a7905a46dde6c5d,1550274325,ef579f5f2f93c818f3ba59a15cfdecd1ef0d32fe,1620517647,11c41c70969c67eace3dd3df1a7905a46dde6c5d,1550274325,https://github.com/google/fidi/blob/11c41c70969c67eace3dd3df1a7905a46dde6c5d/README.md,https://github.com/google/fidi/blob/ef579f5f2f93c818f3ba59a15cfdecd1ef0d32fe/src/fidi_server_application.h#L12
BASIS,repo,README.md,35,35,11c41c70969c67eace3dd3df1a7905a46dde6c5d,1550274325,ef579f5f2f93c818f3ba59a15cfdecd1ef0d32fe,1620517647,11c41c70969c67eace3dd3df1a7905a46dde6c5d,1550274325,https://github.com/google/fidi/blob/11c41c70969c67eace3dd3df1a7905a46dde6c5d/README.md,https://github.com/google/fidi/blob/ef579f5f2f93c818f3ba59a15cfdecd1ef0d32fe/src/fidi_server_application.h#L12
CONDITIONS,repo,README.md,39,39,11c41c70969c67eace3dd3df1a7905a46dde6c5d,1550274325,ef579f5f2f93c818f3ba59a15cfdecd1ef0d32fe,1620517647,11c41c70969c67eace3dd3df1a7905a46dde6c5d,1550274325,https://github.com/google/fidi/blob/11c41c70969c67eace3dd3df1a7905a46dde6c5d/README.md,https://github.com/google/fidi/blob/ef579f5f2f93c818f3ba59a15cfdecd1ef0d32fe/src/fidi_server_application.h#L13
HTML,repo,README.md,63,66,11c41c70969c67eace3dd3df1a7905a46dde6c5d,1550274325,ef579f5f2f93c818f3ba59a15cfdecd1ef0d32fe,1620517647,11c41c70969c67eace3dd3df1a7905a46dde6c5d,1550274325,https://github.com/google/fidi/blob/11c41c70969c67eace3dd3df1a7905a46dde6c5d/README.md,https://github.com/google/fidi/blob/ef579f5f2f93c818f3ba59a15cfdecd1ef0d32fe/docs/Doxyfile.in#L351
INSTALL,repo,README.md,4,4,11c41c70969c67eace3dd3df1a7905a46dde6c5d,1550274325,ef579f5f2f93c818f3ba59a15cfdecd1ef0d32fe,1620517647,11c41c70969c67eace3dd3df1a7905a46dde6c5d,1550274325,https://github.com/google/fidi/blob/11c41c70969c67eace3dd3df1a7905a46dde6c5d/README.md,https://github.com/google/fidi/blob/ef579f5f2f93c818f3ba59a15cfdecd1ef0d32fe/README#L5
IS,repo,README.md,35,35,11c41c70969c67eace3dd3df1a7905a46dde6c5d,1550274325,ef579f5f2f93c818f3ba59a15cfdecd1ef0d32fe,1620517647,11c41c70969c67eace3dd3df1a7905a46dde6c5d,1550274325,https://github.com/google/fidi/blob/11c41c70969c67eace3dd3df1a7905a46dde6c5d/README.md,https://github.com/google/fidi/blob/ef579f5f2f93c818f3ba59a15cfdecd1ef0d32fe/src/fidi_server_application.h#L12
KIND,repo,README.md,35,35,11c41c70969c67eace3dd3df1a7905a46dde6c5d,1550274325,ef579f5f2f93c818f3ba59a15cfdecd1ef0d32fe,1620517647,11c41c70969c67eace3dd3df1a7905a46dde6c5d,1550274325,https://github.com/google/fidi/blob/11c41c70969c67eace3dd3df1a7905a46dde6c5d/README.md,https://github.com/google/fidi/blob/ef579f5f2f93c818f3ba59a15cfdecd1ef0d32fe/src/fidi_server_application.h#L13
LICENSE,repo,README.md,38,38,11c41c70969c67eace3dd3df1a7905a46dde6c5d,1550274325,ef579f5f2f93c818f3ba59a15cfdecd1ef0d32fe,1620517647,11c41c70969c67eace3dd3df1a7905a46dde6c5d,1550274325,https://github.com/google/fidi/blob/11c41c70969c67eace3dd3df1a7905a46dde6c5d/README.md,https://github.com/google/fidi/blob/ef579f5f2f93c818f3ba59a15cfdecd1ef0d32fe/third_party/autoconf-archive/ax_prog_bison_version.m4#L28
LLC,repo,README.md,31,31,11c41c70969c67eace3dd3df1a7905a46dde6c5d,1550274325,ef579f5f2f93c818f3ba59a15cfdecd1ef0d32fe,1620517647,11c41c70969c67eace3dd3df1a7905a46dde6c5d,1550274325,https://github.com/google/fidi/blob/11c41c70969c67eace3dd3df1a7905a46dde6c5d/README.md,https://github.com/google/fidi/blob/ef579f5f2f93c818f3ba59a15cfdecd1ef0d32fe/src/fidi_server_application.h#L3
OF,repo,README.md,37,37,11c41c70969c67eace3dd3df1a7905a46dde6c5d,1550274325,ef579f5f2f93c818f3ba59a15cfdecd1ef0d32fe,1620517647,11c41c70969c67eace3dd3df1a7905a46dde6c5d,1550274325,https://github.com/google/fidi/blob/11c41c70969c67eace3dd3df1a7905a46dde6c5d/README.md,https://github.com/google/fidi/blob/ef579f5f2f93c818f3ba59a15cfdecd1ef0d32fe/src/fidi_server_application.h#L13
OR,repo,README.md,35,35,11c41c70969c67eace3dd3df1a7905a46dde6c5d,1550274325,ef579f5f2f93c818f3ba59a15cfdecd1ef0d32fe,1620517647,11c41c70969c67eace3dd3df1a7905a46dde6c5d,1550274325,https://github.com/google/fidi/blob/11c41c70969c67eace3dd3df1a7905a46dde6c5d/README.md,https://github.com/google/fidi/blob/ef579f5f2f93c818f3ba59a15cfdecd1ef0d32fe/src/fidi_server_application.h#L13
WARRANTIES,repo,README.md,35,35,11c41c70969c67eace3dd3df1a7905a46dde6c5d,1550274325,ef579f5f2f93c818f3ba59a15cfdecd1ef0d32fe,1620517647,11c41c70969c67eace3dd3df1a7905a46dde6c5d,1550274325,https://github.com/google/fidi/blob/11c41c70969c67eace3dd3df1a7905a46dde6c5d/README.md,https://github.com/google/fidi/blob/ef579f5f2f93c818f3ba59a15cfdecd1ef0d32fe/src/fidi_server_application.h#L13
WITHOUT,repo,README.md,35,35,11c41c70969c67eace3dd3df1a7905a46dde6c5d,1550274325,ef579f5f2f93c818f3ba59a15cfdecd1ef0d32fe,1620517647,11c41c70969c67eace3dd3df1a7905a46dde6c5d,1550274325,https://github.com/google/fidi/blob/11c41c70969c67eace3dd3df1a7905a46dde6c5d/README.md,https://github.com/google/fidi/blob/ef579f5f2f93c818f3ba59a15cfdecd1ef0d32fe/src/fidi_server_application.h#L13
fidi_app,repo,README.md,27,28,11c41c70969c67eace3dd3df1a7905a46dde6c5d,1550274325,ef579f5f2f93c818f3ba59a15cfdecd1ef0d32fe,1620517647,11c41c70969c67eace3dd3df1a7905a46dde6c5d,1550274325,https://github.com/google/fidi/blob/11c41c70969c67eace3dd3df1a7905a46dde6c5d/README.md,https://github.com/google/fidi/blob/ef579f5f2f93c818f3ba59a15cfdecd1ef0d32fe/src/fidi_app.cc#L2
fidi_lint,repo,README.md,26,26,11c41c70969c67eace3dd3df1a7905a46dde6c5d,1550274325,ef579f5f2f93c818f3ba59a15cfdecd1ef0d32fe,1620517647,11c41c70969c67eace3dd3df1a7905a46dde6c5d,1550274325,https://github.com/google/fidi/blob/11c41c70969c67eace3dd3df1a7905a46dde6c5d/README.md,https://github.com/google/fidi/blob/ef579f5f2f93c818f3ba59a15cfdecd1ef0d32fe/src/fidi_lint.cc#L2
fidi_request,repo,README.md,6,6,11c41c70969c67eace3dd3df1a7905a46dde6c5d,1550274325,ef579f5f2f93c818f3ba59a15cfdecd1ef0d32fe,1620517647,11c41c70969c67eace3dd3df1a7905a46dde6c5d,1550274325,https://github.com/google/fidi/blob/11c41c70969c67eace3dd3df1a7905a46dde6c5d/README.md,https://github.com/google/fidi/blob/ef579f5f2f93c818f3ba59a15cfdecd1ef0d32fe/docs/fidi_request.5#L16
