code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,rev_18,rev_19,rev_20,rev_21,rev_22,rev_23,rev_24,rev_25,rev_26,rev_27,rev_28,rev_29,rev_30,rev_31,rev_32,rev_33,rev_34,rev_35,rev_36,rev_37,rev_38,rev_39,rev_40,rev_41,rev_42,rev_43,rev_44,rev_45,rev_46,rev_47,rev_48,rev_49,rev_50,rev_51,rev_52,rev_53,rev_54,rev_55,rev_56,rev_57,rev_58,rev_59,rev_60,rev_61,rev_62,rev_63,rev_64,rev_65,rev_66,rev_67,rev_68,rev_69,rev_70,rev_71,rev_72,rev_73,rev_74,rev_75,rev_76,rev_77,rev_78,rev_79,rev_80,rev_81,rev_82,rev_83,rev_84,rev_85,rev_86,rev_87,rev_88,rev_89,rev_90,rev_91,rev_92,rev_93,rev_94,rev_95,rev_96,rev_97,doc_link,source_link
AngularJS,repo,README.md,.,.,.,.,.,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/closure-compiler-js/blob/026c1c18e6c82386cc49992a747e8fe75f20b736/README.md,https://github.com/google/closure-compiler-js/blob/026c1c18e6c82386cc49992a747e8fe75f20b736/usage.txt#L19
BASIS,repo,README.md,.,.,.,.,.,.,3,3,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,6,6,7,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,11,11,11,11,11,11,11,11,11,11,11,12,12,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,https://github.com/google/closure-compiler-js/blob/026c1c18e6c82386cc49992a747e8fe75f20b736/README.md,https://github.com/google/closure-compiler-js/blob/026c1c18e6c82386cc49992a747e8fe75f20b736/test/simple.js#L11
BROWSER,repo,README.md,.,.,.,.,.,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/closure-compiler-js/blob/026c1c18e6c82386cc49992a747e8fe75f20b736/README.md,https://github.com/google/closure-compiler-js/blob/026c1c18e6c82386cc49992a747e8fe75f20b736/usage.txt#L49
CONDITIONS,repo,README.md,.,.,.,.,.,.,5,5,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,8,8,8,8,9,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,13,13,13,13,13,13,13,13,13,13,13,14,14,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,https://github.com/google/closure-compiler-js/blob/026c1c18e6c82386cc49992a747e8fe75f20b736/README.md,https://github.com/google/closure-compiler-js/blob/026c1c18e6c82386cc49992a747e8fe75f20b736/test/simple.js#L12
CUSTOM,repo,README.md,.,.,.,.,.,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/closure-compiler-js/blob/026c1c18e6c82386cc49992a747e8fe75f20b736/README.md,https://github.com/google/closure-compiler-js/blob/026c1c18e6c82386cc49992a747e8fe75f20b736/usage.txt#L52
ClosureCompiler,repo,README.md,.,.,.,.,.,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://github.com/google/closure-compiler-js/blob/026c1c18e6c82386cc49992a747e8fe75f20b736/README.md,https://github.com/google/closure-compiler-js/blob/de87fc658b6a0c58202658204bd300c549f7b955/tools.md#L28
CommonJS,repo,README.md,.,.,.,.,.,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/closure-compiler-js/blob/026c1c18e6c82386cc49992a747e8fe75f20b736/README.md,https://github.com/google/closure-compiler-js/blob/026c1c18e6c82386cc49992a747e8fe75f20b736/usage.txt#L92
DEFAULT,repo,README.md,.,.,.,.,.,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/closure-compiler-js/blob/026c1c18e6c82386cc49992a747e8fe75f20b736/README.md,https://github.com/google/closure-compiler-js/blob/026c1c18e6c82386cc49992a747e8fe75f20b736/usage.txt#L108
ECMASCRIPT5,repo,README.md,.,.,.,.,.,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://github.com/google/closure-compiler-js/blob/026c1c18e6c82386cc49992a747e8fe75f20b736/README.md,https://github.com/google/closure-compiler-js/blob/de87fc658b6a0c58202658204bd300c549f7b955/tools.md#L43
ECMASCRIPT6,repo,README.md,.,.,.,.,.,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://github.com/google/closure-compiler-js/blob/026c1c18e6c82386cc49992a747e8fe75f20b736/README.md,https://github.com/google/closure-compiler-js/blob/de87fc658b6a0c58202658204bd300c549f7b955/tools.md#L42
ECMASCRIPT_2017,repo,README.md,.,.,.,.,.,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/closure-compiler-js/blob/026c1c18e6c82386cc49992a747e8fe75f20b736/README.md,https://github.com/google/closure-compiler-js/blob/026c1c18e6c82386cc49992a747e8fe75f20b736/test/simple.js#L81
GWT,repo,README.md,.,.,.,.,.,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/closure-compiler-js/blob/026c1c18e6c82386cc49992a747e8fe75f20b736/README.md,https://github.com/google/closure-compiler-js/blob/026c1c18e6c82386cc49992a747e8fe75f20b736/compile.js#L18
IS,repo,README.md,.,.,.,.,.,.,3,3,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,6,6,7,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,11,11,11,11,11,11,11,11,11,11,11,12,12,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,https://github.com/google/closure-compiler-js/blob/026c1c18e6c82386cc49992a747e8fe75f20b736/README.md,https://github.com/google/closure-compiler-js/blob/026c1c18e6c82386cc49992a747e8fe75f20b736/test/simple.js#L11
JS,repo,README.md,.,.,.,.,.,.,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,https://github.com/google/closure-compiler-js/blob/026c1c18e6c82386cc49992a747e8fe75f20b736/README.md,https://github.com/google/closure-compiler-js/blob/026c1c18e6c82386cc49992a747e8fe75f20b736/samples/gulpfile.js#L18
JavaScript,repo,README.md,.,.,.,.,.,.,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,https://github.com/google/closure-compiler-js/blob/026c1c18e6c82386cc49992a747e8fe75f20b736/README.md,https://github.com/google/closure-compiler-js/blob/026c1c18e6c82386cc49992a747e8fe75f20b736/package.json#L4
KIND,repo,README.md,.,.,.,.,.,.,3,3,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,6,6,7,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,11,11,11,11,11,11,11,11,11,11,11,12,12,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,https://github.com/google/closure-compiler-js/blob/026c1c18e6c82386cc49992a747e8fe75f20b736/README.md,https://github.com/google/closure-compiler-js/blob/026c1c18e6c82386cc49992a747e8fe75f20b736/test/simple.js#L12
LICENSE,repo,README.md,.,.,.,.,.,.,3,3,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,6,6,7,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,11,11,11,11,11,11,11,11,11,11,11,12,12,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,https://github.com/google/closure-compiler-js/blob/026c1c18e6c82386cc49992a747e8fe75f20b736/README.md,https://github.com/google/closure-compiler-js/blob/026c1c18e6c82386cc49992a747e8fe75f20b736/test/simple.js#L8
OF,repo,README.md,.,.,.,.,.,.,4,4,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7,7,7,8,8,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,12,12,12,12,12,12,12,12,12,12,12,13,13,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,https://github.com/google/closure-compiler-js/blob/026c1c18e6c82386cc49992a747e8fe75f20b736/README.md,https://github.com/google/closure-compiler-js/blob/026c1c18e6c82386cc49992a747e8fe75f20b736/test/simple.js#L12
OR,repo,README.md,.,.,.,.,.,.,3,3,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,6,6,7,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,11,11,11,11,11,11,11,11,11,11,11,12,12,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,https://github.com/google/closure-compiler-js/blob/026c1c18e6c82386cc49992a747e8fe75f20b736/README.md,https://github.com/google/closure-compiler-js/blob/026c1c18e6c82386cc49992a747e8fe75f20b736/test/simple.js#L12
QUIET,repo,README.md,.,.,.,.,.,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/closure-compiler-js/blob/026c1c18e6c82386cc49992a747e8fe75f20b736/README.md,https://github.com/google/closure-compiler-js/blob/026c1c18e6c82386cc49992a747e8fe75f20b736/usage.txt#L111
SIMPLE,repo,README.md,.,.,.,.,.,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,https://github.com/google/closure-compiler-js/blob/026c1c18e6c82386cc49992a747e8fe75f20b736/README.md,https://github.com/google/closure-compiler-js/blob/026c1c18e6c82386cc49992a747e8fe75f20b736/usage.txt#L37
VERBOSE,repo,README.md,.,.,.,.,.,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,1,1,1,1,1,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,6,6,6,6,6,6,9,9,9,9,9,9,9,9,9,https://github.com/google/closure-compiler-js/blob/026c1c18e6c82386cc49992a747e8fe75f20b736/README.md,https://github.com/google/closure-compiler-js/blob/026c1c18e6c82386cc49992a747e8fe75f20b736/usage.txt#L111
WARRANTIES,repo,README.md,.,.,.,.,.,.,3,3,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,6,6,7,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,11,11,11,11,11,11,11,11,11,11,11,12,12,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,https://github.com/google/closure-compiler-js/blob/026c1c18e6c82386cc49992a747e8fe75f20b736/README.md,https://github.com/google/closure-compiler-js/blob/026c1c18e6c82386cc49992a747e8fe75f20b736/test/simple.js#L12
WHITESPACE_ONLY,repo,README.md,.,.,.,.,.,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/closure-compiler-js/blob/026c1c18e6c82386cc49992a747e8fe75f20b736/README.md,https://github.com/google/closure-compiler-js/blob/026c1c18e6c82386cc49992a747e8fe75f20b736/usage.txt#L40
WITHOUT,repo,README.md,.,.,.,.,.,.,3,3,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,6,6,7,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,11,11,11,11,11,11,11,11,11,11,11,12,12,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,https://github.com/google/closure-compiler-js/blob/026c1c18e6c82386cc49992a747e8fe75f20b736/README.md,https://github.com/google/closure-compiler-js/blob/026c1c18e6c82386cc49992a747e8fe75f20b736/test/simple.js#L12
angularPass,repo,README.md,.,.,.,.,.,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/closure-compiler-js/blob/026c1c18e6c82386cc49992a747e8fe75f20b736/README.md,https://github.com/google/closure-compiler-js/blob/026c1c18e6c82386cc49992a747e8fe75f20b736/usage.txt#L17
applyInputSourceMaps,repo,README.md,.,.,.,.,.,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/closure-compiler-js/blob/026c1c18e6c82386cc49992a747e8fe75f20b736/README.md,https://github.com/google/closure-compiler-js/blob/026c1c18e6c82386cc49992a747e8fe75f20b736/usage.txt#L22
assumeFunctionWrapper,repo,README.md,.,.,.,.,.,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/closure-compiler-js/blob/026c1c18e6c82386cc49992a747e8fe75f20b736/README.md,https://github.com/google/closure-compiler-js/blob/026c1c18e6c82386cc49992a747e8fe75f20b736/usage.txt#L26
checksOnly,repo,README.md,.,.,.,.,.,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/closure-compiler-js/blob/026c1c18e6c82386cc49992a747e8fe75f20b736/README.md,https://github.com/google/closure-compiler-js/blob/026c1c18e6c82386cc49992a747e8fe75f20b736/usage.txt#L33
compilationLevel,repo,README.md,.,.,.,.,.,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,6,6,6,6,6,6,9,9,9,9,9,9,9,9,9,https://github.com/google/closure-compiler-js/blob/026c1c18e6c82386cc49992a747e8fe75f20b736/README.md,https://github.com/google/closure-compiler-js/blob/026c1c18e6c82386cc49992a747e8fe75f20b736/usage.txt#L37
compile,repo,README.md,.,.,.,.,.,.,3,3,5,5,7,7,7,5,5,5,5,5,5,5,5,5,5,5,5,9,9,9,7,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,11,11,11,11,11,11,11,11,11,11,11,13,13,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,17,17,17,17,17,17,17,17,17,17,17,17,17,18,18,18,18,18,18,18,18,18,https://github.com/google/closure-compiler-js/blob/026c1c18e6c82386cc49992a747e8fe75f20b736/README.md,https://github.com/google/closure-compiler-js/blob/026c1c18e6c82386cc49992a747e8fe75f20b736/usage.txt#L58
