code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,rev_18,rev_19,rev_20,rev_21,rev_22,rev_23,rev_24,rev_25,rev_26,rev_27,rev_28,rev_29,rev_30,rev_31,rev_32,rev_33,rev_34,rev_35,rev_36,rev_37,rev_38,rev_39,rev_40,rev_41,rev_42,rev_43,rev_44,rev_45,rev_46,rev_47,rev_48,rev_49,rev_50,rev_51,rev_52,rev_53,rev_54,rev_55,rev_56,rev_57,rev_58,rev_59,rev_60,rev_61,rev_62,rev_63,rev_64,rev_65,rev_66,rev_67,rev_68,rev_69,rev_70,rev_71,rev_72,rev_73,rev_74,rev_75,rev_76,rev_77,rev_78,rev_79,rev_80,rev_81,rev_82,rev_83,rev_84,rev_85,rev_86,rev_87,rev_88,rev_89,rev_90,rev_91,rev_92,rev_93,rev_94,doc_link,source_link
LD_LIBRARY_PATH=/data/local/tmp,repo,README.md,.,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/uVkCompute/blob/d894b066fca9783ac0e1dd3de672db7e45d8f81c/README.md,https://github.com/google/uVkCompute/blob/51f73feb3f1224c7270df438d5112f37fdb86c3e/uvkc/vulkan/dynamic_symbols.cc#L116
NDK,repo,README.md,.,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,https://github.com/google/uVkCompute/blob/d894b066fca9783ac0e1dd3de672db7e45d8f81c/README.md,https://github.com/google/uVkCompute/blob/51f73feb3f1224c7270df438d5112f37fdb86c3e/uvkc/vulkan/dynamic_symbols.cc#L107
SDK,repo,README.md,.,.,-,-,-,-,-,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,https://github.com/google/uVkCompute/blob/d894b066fca9783ac0e1dd3de672db7e45d8f81c/README.md,https://github.com/google/uVkCompute/blob/51f73feb3f1224c7270df438d5112f37fdb86c3e/tools/docker/Dockerfile#L48
SPIR,repo,README.md,.,.,0,0,0,0,0,15,15,15,15,15,15,15,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,25,25,25,25,25,25,25,25,25,25,25,27,27,27,27,27,27,27,27,27,28,33,35,35,35,35,35,35,35,37,37,39,41,43,43,43,43,43,45,47,47,49,49,49,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,https://github.com/google/uVkCompute/blob/d894b066fca9783ac0e1dd3de672db7e45d8f81c/README.md,https://github.com/google/uVkCompute/blob/51f73feb3f1224c7270df438d5112f37fdb86c3e/uvkc/vulkan/shader_module.h#L36
VULKAN_SDK,repo,README.md,.,.,-,-,-,-,-,-,-,-,-,-,-,-,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,https://github.com/google/uVkCompute/blob/d894b066fca9783ac0e1dd3de672db7e45d8f81c/README.md,https://github.com/google/uVkCompute/blob/51f73feb3f1224c7270df438d5112f37fdb86c3e/cmake/uvkc_find_vulkan_toolchain.cmake#L27
VkCompute,repo,README.md,.,.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/uVkCompute/blob/d894b066fca9783ac0e1dd3de672db7e45d8f81c/README.md,https://github.com/google/uVkCompute/blob/51f73feb3f1224c7270df438d5112f37fdb86c3e/uvkc/README.md#L3
build-android/,repo,README.md,.,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/uVkCompute/blob/d894b066fca9783ac0e1dd3de672db7e45d8f81c/README.md,https://github.com/google/uVkCompute/blob/51f73feb3f1224c7270df438d5112f37fdb86c3e/tools/ci/build_android.sh#L34
build/,repo,README.md,.,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/uVkCompute/blob/d894b066fca9783ac0e1dd3de672db7e45d8f81c/README.md,https://github.com/google/uVkCompute/blob/51f73feb3f1224c7270df438d5112f37fdb86c3e/.gitignore#L2
dxc,repo,README.md,.,.,-,-,-,-,-,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,https://github.com/google/uVkCompute/blob/d894b066fca9783ac0e1dd3de672db7e45d8f81c/README.md,https://github.com/google/uVkCompute/blob/51f73feb3f1224c7270df438d5112f37fdb86c3e/cmake/uvkc_find_vulkan_toolchain.cmake#L42
glslc,repo,README.md,.,.,-,-,-,-,-,10,10,10,10,10,10,10,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,35,35,35,35,35,35,35,35,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,https://github.com/google/uVkCompute/blob/d894b066fca9783ac0e1dd3de672db7e45d8f81c/README.md,https://github.com/google/uVkCompute/blob/51f73feb3f1224c7270df438d5112f37fdb86c3e/tools/generate_shader_permutations.py#L53
macOS,repo,README.md,.,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/uVkCompute/blob/d894b066fca9783ac0e1dd3de672db7e45d8f81c/README.md,https://github.com/google/uVkCompute/blob/51f73feb3f1224c7270df438d5112f37fdb86c3e/.gitignore#L5
uVkCompute,repo,README.md,.,.,-,-,-,-,-,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,8,8,8,8,8,14,14,14,14,14,14,14,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,9,9,9,9,9,9,https://github.com/google/uVkCompute/blob/d894b066fca9783ac0e1dd3de672db7e45d8f81c/README.md,https://github.com/google/uVkCompute/blob/51f73feb3f1224c7270df438d5112f37fdb86c3e/uvkc/vulkan/driver.cc#L38
