code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,doc_link,source_link
--allow_gpu_growth,repo,README.md,2,2,2,2,2,2,2,https://github.com/google/e3d_lstm/blob/577e5862b0f37d5b99b3ad0551b8b8101a46f8c4/README.md,https://github.com/google/e3d_lstm/blob/577e5862b0f37d5b99b3ad0551b8b8101a46f8c4/scripts/e3d_lstm_mm_train.sh#L27
--filter_size,repo,README.md,2,2,2,2,2,2,2,https://github.com/google/e3d_lstm/blob/577e5862b0f37d5b99b3ad0551b8b8101a46f8c4/README.md,https://github.com/google/e3d_lstm/blob/577e5862b0f37d5b99b3ad0551b8b8101a46f8c4/scripts/e3d_lstm_mm_train.sh#L32
--gen_frm_dir,repo,README.md,2,2,2,2,2,2,2,https://github.com/google/e3d_lstm/blob/577e5862b0f37d5b99b3ad0551b8b8101a46f8c4/README.md,https://github.com/google/e3d_lstm/blob/577e5862b0f37d5b99b3ad0551b8b8101a46f8c4/scripts/e3d_lstm_mm_train.sh#L25
--is_training,repo,README.md,2,2,2,2,2,2,2,https://github.com/google/e3d_lstm/blob/577e5862b0f37d5b99b3ad0551b8b8101a46f8c4/README.md,https://github.com/google/e3d_lstm/blob/577e5862b0f37d5b99b3ad0551b8b8101a46f8c4/scripts/e3d_lstm_mm_train.sh#L19
--layer_norm,repo,README.md,2,2,2,2,2,2,2,https://github.com/google/e3d_lstm/blob/577e5862b0f37d5b99b3ad0551b8b8101a46f8c4/README.md,https://github.com/google/e3d_lstm/blob/577e5862b0f37d5b99b3ad0551b8b8101a46f8c4/scripts/e3d_lstm_mm_train.sh#L35
--model_name,repo,README.md,2,2,2,2,2,2,2,https://github.com/google/e3d_lstm/blob/577e5862b0f37d5b99b3ad0551b8b8101a46f8c4/README.md,https://github.com/google/e3d_lstm/blob/577e5862b0f37d5b99b3ad0551b8b8101a46f8c4/scripts/e3d_lstm_mm_train.sh#L26
--num_hidden,repo,README.md,2,2,2,2,2,2,2,https://github.com/google/e3d_lstm/blob/577e5862b0f37d5b99b3ad0551b8b8101a46f8c4/README.md,https://github.com/google/e3d_lstm/blob/577e5862b0f37d5b99b3ad0551b8b8101a46f8c4/scripts/e3d_lstm_mm_train.sh#L33
--pretrained_model,repo,README.md,2,2,2,2,2,2,2,https://github.com/google/e3d_lstm/blob/577e5862b0f37d5b99b3ad0551b8b8101a46f8c4/README.md,https://github.com/google/e3d_lstm/blob/577e5862b0f37d5b99b3ad0551b8b8101a46f8c4/scripts/e3d_lstm_mm_train.sh#L23
--train_data_paths,repo,README.md,2,2,2,2,2,2,2,https://github.com/google/e3d_lstm/blob/577e5862b0f37d5b99b3ad0551b8b8101a46f8c4/README.md,https://github.com/google/e3d_lstm/blob/577e5862b0f37d5b99b3ad0551b8b8101a46f8c4/scripts/e3d_lstm_mm_train.sh#L21
--valid_data_paths,repo,README.md,2,2,2,2,2,2,2,https://github.com/google/e3d_lstm/blob/577e5862b0f37d5b99b3ad0551b8b8101a46f8c4/README.md,https://github.com/google/e3d_lstm/blob/577e5862b0f37d5b99b3ad0551b8b8101a46f8c4/scripts/e3d_lstm_mm_train.sh#L22
