code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,rev_18,rev_19,rev_20,rev_21,rev_22,rev_23,rev_24,rev_25,rev_26,rev_27,rev_28,rev_29,rev_30,rev_31,rev_32,rev_33,rev_34,rev_35,rev_36,rev_37,rev_38,rev_39,rev_40,rev_41,rev_42,rev_43,rev_44,rev_45,rev_46,rev_47,rev_48,rev_49,rev_50,rev_51,rev_52,rev_53,rev_54,rev_55,rev_56,rev_57,rev_58,rev_59,rev_60,rev_61,rev_62,rev_63,rev_64,rev_65,rev_66,rev_67,rev_68,rev_69,rev_70,rev_71,rev_72,rev_73,rev_74,rev_75,rev_76,rev_77,rev_78,rev_79,rev_80,rev_81,doc_link,source_link
alt_text,repo,README.md,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,https://github.com/google/orchestra/blob/1afb26ae7697b1872bd6ba978a8f800ccaf07699/README.md,https://github.com/google/orchestra/blob/619828f2f7bf809cacc4c145c54e88b44d583304/docs/sdf.md#L54
cloud_project_id,repo,README.md,13,13,13,23,23,23,23,23,23,23,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,44,39,39,39,39,39,39,37,37,33,33,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,21,21,19,22,22,22,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,https://github.com/google/orchestra/blob/1afb26ae7697b1872bd6ba978a8f800ccaf07699/README.md,https://github.com/google/orchestra/blob/619828f2f7bf809cacc4c145c54e88b44d583304/tests/orchestra/google/marketing_platform/operators/test_display_video_360.py#L64
dataRange,repo,README.md,-,-,-,-,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/orchestra/blob/1afb26ae7697b1872bd6ba978a8f800ccaf07699/README.md,https://github.com/google/orchestra/blob/8af297777621dbc7459b320b9ec2f0a3ab46181b/orchestra/google/marketing_platform/example_dags/example_dv360_sdf_record_advertisers.py#L40
erf_bq_dataset,repo,README.md,-,-,-,-,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,https://github.com/google/orchestra/blob/1afb26ae7697b1872bd6ba978a8f800ccaf07699/README.md,https://github.com/google/orchestra/blob/619828f2f7bf809cacc4c145c54e88b44d583304/orchestra/google/marketing_platform/example_dags/example_dv360_erf_to_bq_sequential.py#L80
gce_zone,repo,README.md,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/orchestra/blob/1afb26ae7697b1872bd6ba978a8f800ccaf07699/README.md,https://github.com/google/orchestra/blob/619828f2f7bf809cacc4c145c54e88b44d583304/docs/sdf.md#L72
gcs_bucket,repo,README.md,15,15,15,27,27,27,27,27,27,27,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,62,62,62,62,62,62,62,60,58,52,40,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,25,25,25,28,28,28,30,30,30,30,30,30,30,30,35,35,35,35,35,35,35,35,39,https://github.com/google/orchestra/blob/1afb26ae7697b1872bd6ba978a8f800ccaf07699/README.md,https://github.com/google/orchestra/blob/619828f2f7bf809cacc4c145c54e88b44d583304/tests/orchestra/google/marketing_platform/operators/test_display_video_360.py#L67
gmp_reporting,repo,README.md,-,-,-,-,0,0,0,0,0,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/orchestra/blob/1afb26ae7697b1872bd6ba978a8f800ccaf07699/README.md,https://github.com/google/orchestra/blob/8af297777621dbc7459b320b9ec2f0a3ab46181b/orchestra/google/marketing_platform/example_dags/example_dv360_sdf_to_bq.py#L67
groupBys,repo,README.md,-,-,-,-,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/orchestra/blob/1afb26ae7697b1872bd6ba978a8f800ccaf07699/README.md,https://github.com/google/orchestra/blob/8af297777621dbc7459b320b9ec2f0a3ab46181b/orchestra/google/marketing_platform/example_dags/example_dv360_sdf_record_advertisers.py#L46
image_tooltip,repo,README.md,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,https://github.com/google/orchestra/blob/1afb26ae7697b1872bd6ba978a8f800ccaf07699/README.md,https://github.com/google/orchestra/blob/619828f2f7bf809cacc4c145c54e88b44d583304/docs/sdf.md#L54
includeInviteData,repo,README.md,-,-,-,-,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/orchestra/blob/1afb26ae7697b1872bd6ba978a8f800ccaf07699/README.md,https://github.com/google/orchestra/blob/8af297777621dbc7459b320b9ec2f0a3ab46181b/orchestra/google/marketing_platform/example_dags/example_dv360_sdf_record_advertisers.py#L54
nextRunMinuteOfDay,repo,README.md,-,-,-,-,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/orchestra/blob/1afb26ae7697b1872bd6ba978a8f800ccaf07699/README.md,https://github.com/google/orchestra/blob/77f494c29d7441b72a3520bf26f8c1e1776d88a8/google/gmp/example_dags/dv360_create_sdf_advertisers_report_dag.py#L55
