code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,rev_18,rev_19,rev_20,rev_21,rev_22,rev_23,rev_24,rev_25,rev_26,rev_27,rev_28,rev_29,rev_30,rev_31,rev_32,rev_33,rev_34,rev_35,rev_36,rev_37,rev_38,rev_39,rev_40,rev_41,rev_42,rev_43,rev_44,rev_45,rev_46,rev_47,rev_48,rev_49,rev_50,rev_51,rev_52,rev_53,rev_54,rev_55,rev_56,rev_57,rev_58,rev_59,rev_60,rev_61,rev_62,rev_63,rev_64,rev_65,rev_66,rev_67,rev_68,rev_69,rev_70,rev_71,rev_72,rev_73,rev_74,rev_75,rev_76,rev_77,rev_78,rev_79,rev_80,rev_81,rev_82,rev_83,rev_84,rev_85,rev_86,rev_87,rev_88,rev_89,rev_90,rev_91,rev_92,rev_93,rev_94,rev_95,rev_96,rev_97,rev_98,rev_99,doc_link,source_link
OPA,repo,README.md,.,.,.,.,.,.,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/gke-policy-automation/blob/5741cb5be4c3730fa3504947a8b1f02e453b33dc/README.md,https://github.com/google/gke-policy-automation/blob/8d634a0753b7939c1684fbf5e35a6ca349688540/gke-policies/README.md#L93
PubSub,repo,README.md,.,.,.,.,.,.,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,4,4,12,10,10,10,10,10,10,10,10,10,10,10,10,10,https://github.com/google/gke-policy-automation/blob/5741cb5be4c3730fa3504947a8b1f02e453b33dc/README.md,https://github.com/google/gke-policy-automation/blob/de478f3ca059e5870489e562802c8751908fc5cc/internal/config/config_test.go#L261
README,repo,README.md,.,.,.,.,.,.,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,https://github.com/google/gke-policy-automation/blob/5741cb5be4c3730fa3504947a8b1f02e453b33dc/README.md,https://github.com/google/gke-policy-automation/blob/de478f3ca059e5870489e562802c8751908fc5cc/docs/user-guide.md#L229
REGO,repo,README.md,.,.,.,.,.,.,.,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10,10,10,10,10,10,10,10,10,11,11,11,11,11,11,11,11,11,11,11,11,11,12,12,12,12,12,12,11,https://github.com/google/gke-policy-automation/blob/5741cb5be4c3730fa3504947a8b1f02e453b33dc/README.md,https://github.com/google/gke-policy-automation/blob/de478f3ca059e5870489e562802c8751908fc5cc/internal/app/cli.go#L123
automation:latest,repo,README.md,.,.,.,.,.,.,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,3,https://github.com/google/gke-policy-automation/blob/5741cb5be4c3730fa3504947a8b1f02e453b33dc/README.md,https://github.com/google/gke-policy-automation/blob/de478f3ca059e5870489e562802c8751908fc5cc/terraform/README.md#L66
cloudStorage,repo,README.md,.,.,.,.,.,.,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,https://github.com/google/gke-policy-automation/blob/5741cb5be4c3730fa3504947a8b1f02e453b33dc/README.md,https://github.com/google/gke-policy-automation/blob/de478f3ca059e5870489e562802c8751908fc5cc/terraform/config.yaml#L21
clusterDiscovery,repo,README.md,.,.,.,.,.,.,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,9,9,9,9,9,9,9,9,9,10,10,10,10,10,10,10,10,10,https://github.com/google/gke-policy-automation/blob/5741cb5be4c3730fa3504947a8b1f02e453b33dc/README.md,https://github.com/google/gke-policy-automation/blob/de478f3ca059e5870489e562802c8751908fc5cc/terraform/config.yaml#L16
config.yaml,repo,README.md,.,.,.,.,.,.,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7,7,7,7,7,7,7,7,7,7,7,9,9,9,9,9,9,9,9,9,15,15,15,15,15,15,15,15,15,https://github.com/google/gke-policy-automation/blob/5741cb5be4c3730fa3504947a8b1f02e453b33dc/README.md,https://github.com/google/gke-policy-automation/blob/de478f3ca059e5870489e562802c8751908fc5cc/terraform/variables.tf#L39
credentialsFile,repo,README.md,.,.,.,.,.,.,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/gke-policy-automation/blob/5741cb5be4c3730fa3504947a8b1f02e453b33dc/README.md,https://github.com/google/gke-policy-automation/blob/8d634a0753b7939c1684fbf5e35a6ca349688540/internal/gke/gke.go#L41
ghcr.io,repo,README.md,.,.,.,.,.,.,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,10,10,10,10,10,10,10,10,10,https://github.com/google/gke-policy-automation/blob/5741cb5be4c3730fa3504947a8b1f02e453b33dc/README.md,https://github.com/google/gke-policy-automation/blob/de478f3ca059e5870489e562802c8751908fc5cc/terraform/README.md#L66
roles/container.clusterViewer,repo,README.md,.,.,.,.,.,.,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,https://github.com/google/gke-policy-automation/blob/5741cb5be4c3730fa3504947a8b1f02e453b33dc/README.md,https://github.com/google/gke-policy-automation/blob/de478f3ca059e5870489e562802c8751908fc5cc/terraform/cloudrun.tf#L44
test_credentials,repo,README.md,.,.,.,.,.,.,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/gke-policy-automation/blob/5741cb5be4c3730fa3504947a8b1f02e453b33dc/README.md,https://github.com/google/gke-policy-automation/blob/8d634a0753b7939c1684fbf5e35a6ca349688540/internal/app/test-fixtures/test_config.yaml#L16
