code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,rev_18,rev_19,rev_20,rev_21,rev_22,rev_23,rev_24,rev_25,rev_26,rev_27,rev_28,rev_29,rev_30,rev_31,rev_32,rev_33,rev_34,rev_35,rev_36,rev_37,rev_38,rev_39,rev_40,rev_41,rev_42,rev_43,rev_44,rev_45,rev_46,rev_47,rev_48,rev_49,rev_50,rev_51,rev_52,rev_53,rev_54,rev_55,rev_56,rev_57,rev_58,rev_59,rev_60,rev_61,rev_62,doc_link,source_link
YouTube,repo,README.md,-,-,-,-,-,-,-,-,-,-,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,16,16,16,16,16,16,16,16,16,17,18,18,18,18,18,18,18,https://github.com/google/triggerator/blob/b8ff80e4cb9978af707dc0094988045bbb103017/README.md,https://github.com/google/triggerator/blob/c03b4241b6c64d368054813ee084481bf819c235/frontend/src/app/rules-list.component.html#L43
app.yaml,repo,README.md,-,-,-,-,-,-,-,-,-,-,11,11,11,11,12,12,12,12,12,12,12,12,12,12,12,12,12,18,27,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,https://github.com/google/triggerator/blob/b8ff80e4cb9978af707dc0094988045bbb103017/README.md,https://github.com/google/triggerator/blob/c03b4241b6c64d368054813ee084481bf819c235/scripts/update.sh#L35
backend/app.yaml,repo,README.md,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/triggerator/blob/b8ff80e4cb9978af707dc0094988045bbb103017/README.md,https://github.com/google/triggerator/blob/c03b4241b6c64d368054813ee084481bf819c235/scripts/update.sh#L33
backend/app.yaml.copy,repo,README.md,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/triggerator/blob/b8ff80e4cb9978af707dc0094988045bbb103017/README.md,code_element is a file name
basic_scaling,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/triggerator/blob/b8ff80e4cb9978af707dc0094988045bbb103017/README.md,https://github.com/google/triggerator/blob/c03b4241b6c64d368054813ee084481bf819c235/backend/app.yaml.copy#L3
build-n-deploy.sh,repo,README.md,-,-,-,-,-,-,-,-,-,-,2,2,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/triggerator/blob/b8ff80e4cb9978af707dc0094988045bbb103017/README.md,https://github.com/google/triggerator/blob/c03b4241b6c64d368054813ee084481bf819c235/scripts/update.sh#L44
europe-west,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/triggerator/blob/b8ff80e4cb9978af707dc0094988045bbb103017/README.md,https://github.com/google/triggerator/blob/c03b4241b6c64d368054813ee084481bf819c235/scripts/setup.sh#L19
feed(s),repo,README.md,-,-,-,-,-,-,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/triggerator/blob/b8ff80e4cb9978af707dc0094988045bbb103017/README.md,https://github.com/google/triggerator/blob/c03b4241b6c64d368054813ee084481bf819c235/backend/src/app/sdf-controller.ts#L66
mailer.json,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/triggerator/blob/b8ff80e4cb9978af707dc0094988045bbb103017/README.md,https://github.com/google/triggerator/blob/c03b4241b6c64d368054813ee084481bf819c235/backend/.gitignore#L13
max_instances,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/triggerator/blob/b8ff80e4cb9978af707dc0094988045bbb103017/README.md,https://github.com/google/triggerator/blob/c03b4241b6c64d368054813ee084481bf819c235/backend/app.yaml.copy#L4
package-lock.json,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,https://github.com/google/triggerator/blob/b8ff80e4cb9978af707dc0094988045bbb103017/README.md,https://github.com/google/triggerator/blob/c03b4241b6c64d368054813ee084481bf819c235/frontend/.gcloudignore#L14
package.json,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,https://github.com/google/triggerator/blob/b8ff80e4cb9978af707dc0094988045bbb103017/README.md,https://github.com/google/triggerator/blob/c03b4241b6c64d368054813ee084481bf819c235/frontend/.gcloudignore#L13
scripts,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8,8,8,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,https://github.com/google/triggerator/blob/b8ff80e4cb9978af707dc0094988045bbb103017/README.md,https://github.com/google/triggerator/blob/c03b4241b6c64d368054813ee084481bf819c235/scripts/update.sh#L43
scripts/setup.sh,repo,README.md,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1,1,1,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/triggerator/blob/b8ff80e4cb9978af707dc0094988045bbb103017/README.md,code_element is a file name
setup.sh,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1,1,1,1,1,1,1,1,1,2,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,https://github.com/google/triggerator/blob/b8ff80e4cb9978af707dc0094988045bbb103017/README.md,https://github.com/google/triggerator/blob/c03b4241b6c64d368054813ee084481bf819c235/CHANGELOG.md#L47
update.sh,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,https://github.com/google/triggerator/blob/b8ff80e4cb9978af707dc0094988045bbb103017/README.md,https://github.com/google/triggerator/blob/c03b4241b6c64d368054813ee084481bf819c235/CHANGELOG.md#L53
us-central,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/triggerator/blob/b8ff80e4cb9978af707dc0094988045bbb103017/README.md,https://github.com/google/triggerator/blob/c03b4241b6c64d368054813ee084481bf819c235/scripts/setup.sh#L19
version,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2847,2847,2847,2847,2849,5658,5658,5658,5658,5658,5658,5764,5764,5764,5764,5768,5768,5768,5768,5768,5768,5768,5770,5770,5770,5770,5770,5619,5619,5619,5631,5631,5631,5631,5652,5652,5652,5652,5652,5656,5653,5653,5653,5654,5654,https://github.com/google/triggerator/blob/b8ff80e4cb9978af707dc0094988045bbb103017/README.md,https://github.com/google/triggerator/blob/c03b4241b6c64d368054813ee084481bf819c235/frontend/src/app/app-editor.component.html#L362
