code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,rev_18,rev_19,rev_20,rev_21,rev_22,rev_23,rev_24,rev_25,rev_26,rev_27,rev_28,rev_29,rev_30,rev_31,rev_32,rev_33,rev_34,rev_35,rev_36,rev_37,rev_38,rev_39,rev_40,rev_41,rev_42,rev_43,rev_44,rev_45,rev_46,rev_47,rev_48,rev_49,rev_50,rev_51,rev_52,rev_53,rev_54,rev_55,rev_56,rev_57,rev_58,rev_59,rev_60,rev_61,rev_62,rev_63,rev_64,rev_65,rev_66,rev_67,rev_68,rev_69,rev_70,rev_71,rev_72,rev_73,rev_74,rev_75,rev_76,rev_77,rev_78,rev_79,rev_80,rev_81,rev_82,rev_83,rev_84,rev_85,rev_86,rev_87,rev_88,rev_89,rev_90,rev_91,rev_92,rev_93,rev_94,rev_95,rev_96,rev_97,rev_98,rev_99,rev_100,rev_101,rev_102,doc_link,source_link
API,repo,README.md,.,.,.,.,.,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1,1,1,1,1,1,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,25,29,29,29,29,29,29,29,29,29,29,23,23,23,23,23,23,23,23,23,https://github.com/google/speed-opportunity-finder/blob/554bc073b50d50c074493591a8ac8eadb60584eb/README.md,https://github.com/google/speed-opportunity-finder/blob/b1f9157d1198ef94d4560cbe6004006f489fabc4/docs/index.md#L29
APP_LOCATION,repo,README.md,.,.,.,.,.,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,4,4,-,-,-,-,-,-,-,https://github.com/google/speed-opportunity-finder/blob/554bc073b50d50c074493591a8ac8eadb60584eb/README.md,https://github.com/google/speed-opportunity-finder/blob/a9cd0bc22300de414a1df09bd958e7e5eca9692b/install.sh#L68
AS,repo,README.md,.,.,.,.,.,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,23,23,23,23,23,23,23,https://github.com/google/speed-opportunity-finder/blob/554bc073b50d50c074493591a8ac8eadb60584eb/README.md,https://github.com/google/speed-opportunity-finder/blob/b1f9157d1198ef94d4560cbe6004006f489fabc4/queue.yaml#L10
BigQuery,repo,README.md,.,.,.,.,.,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,13,13,13,13,13,13,13,13,13,13,13,9,9,9,9,9,9,9,9,9,https://github.com/google/speed-opportunity-finder/blob/554bc073b50d50c074493591a8ac8eadb60584eb/README.md,https://github.com/google/speed-opportunity-finder/blob/b1f9157d1198ef94d4560cbe6004006f489fabc4/docs/index.md#L33
DataStudio,repo,README.md,.,.,.,.,.,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/speed-opportunity-finder/blob/554bc073b50d50c074493591a8ac8eadb60584eb/README.md,https://github.com/google/speed-opportunity-finder/blob/b1f9157d1198ef94d4560cbe6004006f489fabc4/docs/index.md#L35
EXCEPT(time_to_first_byte),repo,README.md,.,.,.,.,.,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1,1,1,https://github.com/google/speed-opportunity-finder/blob/554bc073b50d50c074493591a8ac8eadb60584eb/README.md,https://github.com/google/speed-opportunity-finder/blob/b1f9157d1198ef94d4560cbe6004006f489fabc4/docs/index.md#L74
FLOAT,repo,README.md,.,.,.,.,.,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,60,60,60,60,60,60,60,https://github.com/google/speed-opportunity-finder/blob/554bc073b50d50c074493591a8ac8eadb60584eb/README.md,https://github.com/google/speed-opportunity-finder/blob/b1f9157d1198ef94d4560cbe6004006f489fabc4/schemas/lh_data.json#L1
FROM,repo,README.md,.,.,.,.,.,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,4,4,4,4,4,4,https://github.com/google/speed-opportunity-finder/blob/554bc073b50d50c074493591a8ac8eadb60584eb/README.md,https://github.com/google/speed-opportunity-finder/blob/b1f9157d1198ef94d4560cbe6004006f489fabc4/install.sh#L114
GoogleChrome,repo,README.md,.,.,.,.,.,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1,1,1,https://github.com/google/speed-opportunity-finder/blob/554bc073b50d50c074493591a8ac8eadb60584eb/README.md,https://github.com/google/speed-opportunity-finder/blob/b1f9157d1198ef94d4560cbe6004006f489fabc4/docs/index.md#L53
ID,repo,README.md,.,.,.,.,.,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,6,6,5,5,5,5,5,5,5,5,5,5,5,6,6,9,9,9,9,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,20,20,20,20,20,20,20,20,20,20,20,22,22,22,22,22,22,22,22,22,https://github.com/google/speed-opportunity-finder/blob/554bc073b50d50c074493591a8ac8eadb60584eb/README.md,https://github.com/google/speed-opportunity-finder/blob/b1f9157d1198ef94d4560cbe6004006f489fabc4/install.sh#L151
